mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,impugnaciones,observaciones,centro,departamento,municipio,tipo
6897,,"{'TODOS': 3, 'CAMBIO': 9, 'MORENA': 7, 'VAMOS': 36, 'PIN': 4, 'RENOVADOR': 128, 'VALOR': 81, 'AZUL': 1, 'UNE': 3, 'FCN-NACION': 1, 'PODEMOS': 2, 'UC': 2}",5,14,296,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6898,,"{'TODOS': 5, 'CAMBIO': 7, 'MORENA': 11, 'VAMOS': 34, 'PIN': 4, 'RENOVADOR': 133, 'VALOR': 86, 'AZUL': 1, 'UNE': 4, 'FCN-NACION': 1, 'PODEMOS': 2, 'UC': 0}",2,16,306,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6899,,"{'TODOS': 4, 'CAMBIO': 5, 'MORENA': 9, 'VAMOS': 37, 'PIN': 3, 'RENOVADOR': 116, 'VALOR': 82, 'AZUL': 4, 'UNE': 8, 'FCN-NACION': 0, 'PODEMOS': 4, 'UC': 0}",4,16,292,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6900,,"{'TODOS': 2, 'CAMBIO': 14, 'MORENA': 3, 'VAMOS': 24, 'PIN': 0, 'RENOVADOR': 139, 'VALOR': 96, 'AZUL': 1, 'UNE': 8, 'FCN-NACION': 1, 'PODEMOS': 7, 'UC': 0}",3,15,313,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6901,,"{'TODOS': 1, 'CAMBIO': 4, 'MORENA': 3, 'VAMOS': 29, 'PIN': 0, 'RENOVADOR': 156, 'VALOR': 78, 'AZUL': 0, 'UNE': 7, 'FCN-NACION': 1, 'PODEMOS': 3, 'UC': 0}",2,11,295,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6902,,"{'TODOS': 1, 'CAMBIO': 7, 'MORENA': 4, 'VAMOS': 32, 'PIN': 1, 'RENOVADOR': 136, 'VALOR': 70, 'AZUL': 0, 'UNE': 3, 'FCN-NACION': 0, 'PODEMOS': 3, 'UC': 0}",1,7,265,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6903,,"{'TODOS': 1, 'CAMBIO': 9, 'MORENA': 6, 'VAMOS': 31, 'PIN': 2, 'RENOVADOR': 127, 'VALOR': 73, 'AZUL': 1, 'UNE': 5, 'FCN-NACION': 1, 'PODEMOS': 5, 'UC': 0}",1,6,268,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6904,,"{'TODOS': 1, 'CAMBIO': 6, 'MORENA': 8, 'VAMOS': 32, 'PIN': 3, 'RENOVADOR': 140, 'VALOR': 87, 'AZUL': 2, 'UNE': 4, 'FCN-NACION': 1, 'PODEMOS': 3, 'UC': 0}",1,5,293,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6905,,"{'TODOS': 4, 'CAMBIO': 9, 'MORENA': 3, 'VAMOS': 43, 'PIN': 6, 'RENOVADOR': 113, 'VALOR': 71, 'AZUL': 1, 'UNE': 5, 'FCN-NACION': 0, 'PODEMOS': 5, 'UC': 0}",3,18,281,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6906,,"{'TODOS': 1, 'CAMBIO': 10, 'MORENA': 5, 'VAMOS': 34, 'PIN': 2, 'RENOVADOR': 122, 'VALOR': 95, 'AZUL': 3, 'UNE': 3, 'FCN-NACION': 0, 'PODEMOS': 6, 'UC': 1}",0,9,291,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6907,,"{'TODOS': 2, 'CAMBIO': 7, 'MORENA': 6, 'VAMOS': 26, 'PIN': 1, 'RENOVADOR': 107, 'VALOR': 83, 'AZUL': 2, 'UNE': 7, 'FCN-NACION': 2, 'PODEMOS': 6, 'UC': 0}",5,11,265,0,1,,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6908,,"{'TODOS': 4, 'CAMBIO': 6, 'MORENA': 6, 'VAMOS': 16, 'PIN': 1, 'RENOVADOR': 128, 'VALOR': 97, 'AZUL': 1, 'UNE': 5, 'FCN-NACION': 1, 'PODEMOS': 1, 'UC': 1}",0,3,270,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6909,,"{'TODOS': 0, 'CAMBIO': 7, 'MORENA': 2, 'VAMOS': 30, 'PIN': 2, 'RENOVADOR': 131, 'VALOR': 79, 'AZUL': 2, 'UNE': 3, 'FCN-NACION': 0, 'PODEMOS': 5, 'UC': 1}",0,2,264,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6910,,"{'TODOS': 2, 'CAMBIO': 11, 'MORENA': 6, 'VAMOS': 34, 'PIN': 4, 'RENOVADOR': 140, 'VALOR': 81, 'AZUL': 0, 'UNE': 5, 'FCN-NACION': 0, 'PODEMOS': 1, 'UC': 1}",0,0,285,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
6911,,"{'TODOS': 0, 'CAMBIO': 2, 'MORENA': 0, 'VAMOS': 15, 'PIN': 0, 'RENOVADOR': 68, 'VALOR': 58, 'AZUL': 1, 'UNE': 3, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 0}",0,0,147,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,alcalde
