mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,impugnaciones,observaciones,centro,departamento,municipio,tipo
6897,,"{'PIN': 2, 'AZUL': 6, 'PR': 1, 'TODOS': 7, 'CABAL': 7, 'PODEMOS': 13, 'VALOR UNIONISTA': 14, 'VAMOS': 17, 'UNE': 13, 'P A N': 2, 'PPN': 2, 'MLP': 1, 'FCN-NACION': 0, 'VICTORIA': 1, 'ELEFANTE': 4, 'UR': 1, 'PHG': 0, 'PPG': 2, 'BIEN': 7, 'URNG-MAIZ WINAQ': 1, 'VIVA': 15, 'MI FAMILIA': 6, 'CAMBIO': 6, 'VOS': 2, 'CREO': 3, 'SEMILLA': 7}",83,73,296,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6898,,"{'PIN': 2, 'AZUL': 5, 'PR': 1, 'TODOS': 7, 'CABAL': 4, 'PODEMOS': 11, 'VALOR UNIONISTA': 12, 'VAMOS': 20, 'UNE': 26, 'P A N': 3, 'PPN': 1, 'MLP': 1, 'FCN-NACION': 2, 'VICTORIA': 3, 'ELEFANTE': 3, 'UR': 1, 'PHG': 0, 'PPG': 0, 'BIEN': 7, 'URNG-MAIZ WINAQ': 3, 'VIVA': 15, 'MI FAMILIA': 11, 'CAMBIO': 5, 'VOS': 5, 'CREO': 1, 'SEMILLA': 6}",64,79,298,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6899,,"{'PIN': 2, 'AZUL': 3, 'PR': 1, 'TODOS': 5, 'CABAL': 5, 'PODEMOS': 14, 'VALOR UNIONISTA': 19, 'VAMOS': 13, 'UNE': 16, 'P A N': 2, 'PPN': 3, 'MLP': 0, 'FCN-NACION': 3, 'VICTORIA': 5, 'ELEFANTE': 4, 'UR': 0, 'PHG': 2, 'PPG': 1, 'BIEN': 6, 'URNG-MAIZ WINAQ': 0, 'VIVA': 15, 'MI FAMILIA': 9, 'CAMBIO': 2, 'VOS': 0, 'CREO': 1, 'SEMILLA': 10}",84,67,292,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6900,,"{'PIN': 2, 'AZUL': 6, 'PR': 1, 'TODOS': 5, 'CABAL': 2, 'PODEMOS': 21, 'VALOR UNIONISTA': 15, 'VAMOS': 9, 'UNE': 34, 'P A N': 1, 'PPN': 2, 'MLP': 0, 'FCN-NACION': 3, 'VICTORIA': 3, 'ELEFANTE': 6, 'UR': 1, 'PHG': 3, 'PPG': 1, 'BIEN': 6, 'URNG-MAIZ WINAQ': 2, 'VIVA': 14, 'MI FAMILIA': 12, 'CAMBIO': 8, 'VOS': 5, 'CREO': 2, 'SEMILLA': 7}",69,73,313,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6901,,"{'PIN': 0, 'AZUL': 5, 'PR': 4, 'TODOS': 6, 'CABAL': 3, 'PODEMOS': 17, 'VALOR UNIONISTA': 13, 'VAMOS': 18, 'UNE': 15, 'P A N': 2, 'PPN': 0, 'MLP': 0, 'FCN-NACION': 1, 'VICTORIA': 2, 'ELEFANTE': 2, 'UR': 1, 'PHG': 1, 'PPG': 2, 'BIEN': 11, 'URNG-MAIZ WINAQ': 2, 'VIVA': 11, 'MI FAMILIA': 7, 'CAMBIO': 8, 'VOS': 2, 'CREO': 1, 'SEMILLA': 7}",57,97,295,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6902,,"{'PIN': 1, 'AZUL': 6, 'PR': 0, 'TODOS': 12, 'CABAL': 3, 'PODEMOS': 17, 'VALOR UNIONISTA': 13, 'VAMOS': 22, 'UNE': 12, 'P A N': 4, 'PPN': 1, 'MLP': 2, 'FCN-NACION': 0, 'VICTORIA': 3, 'ELEFANTE': 0, 'UR': 1, 'PHG': 1, 'PPG': 1, 'BIEN': 5, 'URNG-MAIZ WINAQ': 1, 'VIVA': 15, 'MI FAMILIA': 12, 'CAMBIO': 5, 'VOS': 6, 'CREO': 1, 'SEMILLA': 11}",46,64,265,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6903,,"{'PIN': 1, 'AZUL': 8, 'PR': 1, 'TODOS': 4, 'CABAL': 3, 'PODEMOS': 21, 'VALOR UNIONISTA': 14, 'VAMOS': 21, 'UNE': 10, 'P A N': 0, 'PPN': 2, 'MLP': 0, 'FCN-NACION': 4, 'VICTORIA': 1, 'ELEFANTE': 5, 'UR': 2, 'PHG': 1, 'PPG': 0, 'BIEN': 1, 'URNG-MAIZ WINAQ': 3, 'VIVA': 12, 'MI FAMILIA': 5, 'CAMBIO': 4, 'VOS': 5, 'CREO': 0, 'SEMILLA': 12}",58,70,268,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6904,,"{'PIN': 3, 'AZUL': 8, 'PR': 3, 'TODOS': 7, 'CABAL': 7, 'PODEMOS': 20, 'VALOR UNIONISTA': 13, 'VAMOS': 16, 'UNE': 25, 'P A N': 2, 'PPN': 0, 'MLP': 1, 'FCN-NACION': 1, 'VICTORIA': 4, 'ELEFANTE': 5, 'UR': 2, 'PHG': 1, 'PPG': 0, 'BIEN': 2, 'URNG-MAIZ WINAQ': 2, 'VIVA': 10, 'MI FAMILIA': 6, 'CAMBIO': 4, 'VOS': 3, 'CREO': 4, 'SEMILLA': 10}",65,68,292,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6905,,"{'PIN': 2, 'AZUL': 9, 'PR': 1, 'TODOS': 6, 'CABAL': 2, 'PODEMOS': 9, 'VALOR UNIONISTA': 19, 'VAMOS': 15, 'UNE': 11, 'P A N': 0, 'PPN': 2, 'MLP': 0, 'FCN-NACION': 0, 'VICTORIA': 2, 'ELEFANTE': 1, 'UR': 1, 'PHG': 0, 'PPG': 0, 'BIEN': 9, 'URNG-MAIZ WINAQ': 4, 'VIVA': 8, 'MI FAMILIA': 5, 'CAMBIO': 5, 'VOS': 4, 'CREO': 0, 'SEMILLA': 11}",75,80,281,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6906,,"{'PIN': 0, 'AZUL': 6, 'PR': 1, 'TODOS': 5, 'CABAL': 5, 'PODEMOS': 20, 'VALOR UNIONISTA': 17, 'VAMOS': 22, 'UNE': 17, 'P A N': 4, 'PPN': 1, 'MLP': 1, 'FCN-NACION': 2, 'VICTORIA': 4, 'ELEFANTE': 1, 'UR': 1, 'PHG': 2, 'PPG': 1, 'BIEN': 7, 'URNG-MAIZ WINAQ': 3, 'VIVA': 13, 'MI FAMILIA': 3, 'CAMBIO': 7, 'VOS': 4, 'CREO': 2, 'SEMILLA': 16}",72,54,291,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6907,,"{'PIN': 1, 'AZUL': 4, 'PR': 2, 'TODOS': 2, 'CABAL': 3, 'PODEMOS': 19, 'VALOR UNIONISTA': 20, 'VAMOS': 20, 'UNE': 17, 'P A N': 1, 'PPN': 1, 'MLP': 1, 'FCN-NACION': 2, 'VICTORIA': 4, 'ELEFANTE': 1, 'UR': 0, 'PHG': 2, 'PPG': 0, 'BIEN': 6, 'URNG-MAIZ WINAQ': 1, 'VIVA': 5, 'MI FAMILIA': 7, 'CAMBIO': 7, 'VOS': 5, 'CREO': 0, 'SEMILLA': 7}",67,60,265,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6908,,"{'PIN': 1, 'AZUL': 7, 'PR': 0, 'TODOS': 4, 'CABAL': 3, 'PODEMOS': 21, 'VALOR UNIONISTA': 23, 'VAMOS': 11, 'UNE': 22, 'P A N': 3, 'PPN': 3, 'MLP': 0, 'FCN-NACION': 6, 'VICTORIA': 1, 'ELEFANTE': 1, 'UR': 2, 'PHG': 1, 'PPG': 0, 'BIEN': 3, 'URNG-MAIZ WINAQ': 4, 'VIVA': 8, 'MI FAMILIA': 4, 'CAMBIO': 4, 'VOS': 9, 'CREO': 1, 'SEMILLA': 26}",36,66,270,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6909,,"{'PIN': 1, 'AZUL': 6, 'PR': 0, 'TODOS': 2, 'CABAL': 2, 'PODEMOS': 18, 'VALOR UNIONISTA': 23, 'VAMOS': 21, 'UNE': 12, 'P A N': 3, 'PPN': 1, 'MLP': 0, 'FCN-NACION': 1, 'VICTORIA': 3, 'ELEFANTE': 4, 'UR': 1, 'PHG': 0, 'PPG': 1, 'BIEN': 3, 'URNG-MAIZ WINAQ': 0, 'VIVA': 11, 'MI FAMILIA': 9, 'CAMBIO': 5, 'VOS': 7, 'CREO': 1, 'SEMILLA': 33}",35,61,264,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6910,,"{'PIN': 2, 'AZUL': 10, 'PR': 0, 'TODOS': 4, 'CABAL': 4, 'PODEMOS': 17, 'VALOR UNIONISTA': 31, 'VAMOS': 27, 'UNE': 15, 'P A N': 1, 'PPN': 1, 'MLP': 1, 'FCN-NACION': 1, 'VICTORIA': 2, 'ELEFANTE': 1, 'UR': 0, 'PHG': 1, 'PPG': 0, 'BIEN': 2, 'URNG-MAIZ WINAQ': 0, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 9, 'VOS': 6, 'CREO': 0, 'SEMILLA': 36}",47,50,280,0,--,Sumas Asentadas sin cuadrar,0754,El Progreso,San Agustín Acasaguastlán,diputados
6911,,"{'PIN': 0, 'AZUL': 5, 'PR': 0, 'TODOS': 2, 'CABAL': 2, 'PODEMOS': 10, 'VALOR UNIONISTA': 16, 'VAMOS': 11, 'UNE': 9, 'P A N': 1, 'PPN': 0, 'MLP': 0, 'FCN-NACION': 2, 'VICTORIA': 4, 'ELEFANTE': 3, 'UR': 0, 'PHG': 1, 'PPG': 0, 'BIEN': 2, 'URNG-MAIZ WINAQ': 0, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 7, 'VOS': 2, 'CREO': 1, 'SEMILLA': 6}",25,34,147,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6912,,"{'PIN': 0, 'AZUL': 2, 'PR': 1, 'TODOS': 1, 'CABAL': 0, 'PODEMOS': 6, 'VALOR UNIONISTA': 16, 'VAMOS': 9, 'UNE': 9, 'P A N': 1, 'PPN': 1, 'MLP': 1, 'FCN-NACION': 2, 'VICTORIA': 1, 'ELEFANTE': 1, 'UR': 0, 'PHG': 0, 'PPG': 0, 'BIEN': 3, 'URNG-MAIZ WINAQ': 1, 'VIVA': 4, 'MI FAMILIA': 6, 'CAMBIO': 3, 'VOS': 2, 'CREO': 0, 'SEMILLA': 12}",16,28,126,0,--,Algún campo sin dato,0754,El Progreso,San Agustín Acasaguastlán,diputados
6913,,"{'PIN': 3, 'AZUL': 5, 'PR': 3, 'TODOS': 8, 'CABAL': 5, 'PODEMOS': 2, 'VALOR UNIONISTA': 10, 'VAMOS': 39, 'UNE': 39, 'P A N': 4, 'PPN': 1, 'MLP': 1, 'FCN-NACION': 1, 'VICTORIA': 1, 'ELEFANTE': 1, 'UR': 2, 'PHG': 0, 'PPG': 3, 'BIEN': 6, 'URNG-MAIZ WINAQ': 0, 'VIVA': 4, 'MI FAMILIA': 9, 'CAMBIO': 5, 'VOS': 0, 'CREO': 1, 'SEMILLA': 2}",91,64,310,0,--,Algún campo sin dato,0755,El Progreso,San Agustín Acasaguastlán,diputados
6914,,"{'PIN': 0, 'AZUL': 4, 'PR': 1, 'TODOS': 3, 'CABAL': 2, 'PODEMOS': 5, 'VALOR UNIONISTA': 8, 'VAMOS': 44, 'UNE': 41, 'P A N': 3, 'PPN': 2, 'MLP': 0, 'FCN-NACION': 0, 'VICTORIA': 3, 'ELEFANTE': 0, 'UR': 0, 'PHG': 0, 'PPG': 4, 'BIEN': 0, 'URNG-MAIZ WINAQ': 1, 'VIVA': 5, 'MI FAMILIA': 9, 'CAMBIO': 5, 'VOS': 3, 'CREO': 0, 'SEMILLA': 1}",83,46,273,0,--,Algún campo sin dato,0755,El Progreso,San Agustín Acasaguastlán,diputados
6915,,"{'PIN': 2, 'AZUL': 3, 'PR': 4, 'TODOS': 2, 'CABAL': 2, 'PODEMOS': 5, 'VALOR UNIONISTA': 14, 'VAMOS': 39, 'UNE': 30, 'P A N': 4, 'PPN': 2, 'MLP': 1, 'FCN-NACION': 2, 'VICTORIA': 2, 'ELEFANTE': 3, 'UR': 2, 'PHG': 0, 'PPG': 1, 'BIEN': 4, 'URNG-MAIZ WINAQ': 1, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 0, 'CREO': 2, 'SEMILLA': 2}",92,44,274,0,--,Algún campo sin dato,0755,El Progreso,San Agustín Acasaguastlán,diputados
6916,,"{'PIN': 1, 'AZUL': 0, 'PR': 2, 'TODOS': 3, 'CABAL': 1, 'PODEMOS': 6, 'VALOR UNIONISTA': 14, 'VAMOS': 60, 'UNE': 27, 'P A N': 0, 'PPN': 1, 'MLP': 1, 'FCN-NACION': 0, 'VICTORIA': 0, 'ELEFANTE': 0, 'UR': 1, 'PHG': 0, 'PPG': 1, 'BIEN': 2, 'URNG-MAIZ WINAQ': 0, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 0, 'CREO': 0, 'SEMILLA': 7}",47,35,218,0,--,Algún campo sin dato,0755,El Progreso,San Agustín Acasaguastlán,diputados
6917,,"{'PIN': 3, 'AZUL': 1, 'PR': 6, 'TODOS': 8, 'CABAL': 5, 'PODEMOS': 6, 'VALOR UNIONISTA': 15, 'VAMOS': 18, 'UNE': 27, 'P A N': 1, 'PPN': 0, 'MLP': 2, 'FCN-NACION': 3, 'VICTORIA': 1, 'ELEFANTE': 4, 'UR': 3, 'PHG': 0, 'PPG': 0, 'BIEN': 4, 'URNG-MAIZ WINAQ': 1, 'VIVA': 14, 'MI FAMILIA': 9, 'CAMBIO': 3, 'VOS': 1, 'CREO': 1, 'SEMILLA': 7}",22,17,182,23,--,Algún campo sin dato,0756,El Progreso,San Agustín Acasaguastlán,diputados
6918,,"{'PIN': 2, 'AZUL': 6, 'PR': 0, 'TODOS': 3, 'CABAL': 4, 'PODEMOS': 11, 'VALOR UNIONISTA': 17, 'VAMOS': 26, 'UNE': 22, 'P A N': 3, 'PPN': 1, 'MLP': 0, 'FCN-NACION': 3, 'VICTORIA': 2, 'ELEFANTE': 5, 'UR': 1, 'PHG': 1, 'PPG': 1, 'BIEN': 3, 'URNG-MAIZ WINAQ': 2, 'VIVA': 11, 'MI FAMILIA': 6, 'CAMBIO': 6, 'VOS': 4, 'CREO': 2, 'SEMILLA': 8}",20,26,196,0,--,Algún campo sin dato,0756,El Progreso,San Agustín Acasaguastlán,diputados
6919,,"{'PIN': 0, 'AZUL': 4, 'PR': 0, 'TODOS': 0, 'CABAL': 2, 'PODEMOS': 11, 'VALOR UNIONISTA': 12, 'VAMOS': 9, 'UNE': 23, 'P A N': 0, 'PPN': 2, 'MLP': 0, 'FCN-NACION': 0, 'VICTORIA': 2, 'ELEFANTE': 1, 'UR': 0, 'PHG': 0, 'PPG': 0, 'BIEN': 5, 'URNG-MAIZ WINAQ': 1, 'VIVA': 1, 'MI FAMILIA': 5, 'CAMBIO': 2, 'VOS': 3, 'CREO': 0, 'SEMILLA': 2}",82,27,194,0,--,Algún campo sin dato,0757,El Progreso,San Agustín Acasaguastlán,diputados
6920,,"{'PIN': 0, 'AZUL': 4, 'PR': 0, 'TODOS': 5, 'CABAL': 3, 'PODEMOS': 14, 'VALOR UNIONISTA': 40, 'VAMOS': 9, 'UNE': 9, 'P A N': 0, 'PPN': 0, 'MLP': 0, 'FCN-NACION': 4, 'VICTORIA': 1, 'ELEFANTE': 0, 'UR': 0, 'PHG': 2, 'PPG': 2, 'BIEN': 6, 'URNG-MAIZ WINAQ': 0, 'VIVA': 9, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 2, 'CREO': 0, 'SEMILLA': 4}",61,31,210,0,--,Algún campo sin dato,0757,El Progreso,San Agustín Acasaguastlán,diputados
