mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
1,,"{'UNE': 10, 'AZUL': 3, 'VALOR UNIONISTA': 55, 'CABAL': 37, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 7, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 52, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 9, 'BIEN': 14, 'VIVA': 3, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 32}",124,28,398,0,Algún campo sin dato,0.Distrito Central,1.Guatemala,0001,presidente
2,,"{'UNE': 8, 'AZUL': 5, 'VALOR UNIONISTA': 39, 'CABAL': 34, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 69, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 5, 'BIEN': 16, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 43}",0,21,272,1,Algún campo sin dato,0.Distrito Central,1.Guatemala,0001,presidente
3,,"{'UNE': 7, 'AZUL': 6, 'VALOR UNIONISTA': 41, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 10, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 45, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 8, 'BIEN': 9, 'VIVA': 1, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 31}",0,16,215,0,Algún campo sin dato,0.Distrito Central,1.Guatemala,0001,presidente
4,,"{'UNE': 4, 'AZUL': 1, 'VALOR UNIONISTA': 27, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 62, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 6, 'BIEN': 8, 'VIVA': 2, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 24}",0,13,184,0,Algún campo sin dato,0.Distrito Central,1.Guatemala,0001,presidente
5,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 74, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 6, 'BIEN': 12, 'VIVA': 11, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 21}",0,27,238,0,Algún campo sin dato,0.Distrito Central,1.Guatemala,0002,presidente
6,,"{'UNE': 16, 'AZUL': 4, 'VALOR UNIONISTA': 34, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 1, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 45, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 11, 'VIVA': 5, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 31}",1,28,228,0,Algún campo sin dato,0.Distrito Central,1.Guatemala,0002,presidente
7,,"{'UNE': 14, 'AZUL': 5, 'VALOR UNIONISTA': 34, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 6, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 26}",0,23,231,0,Algún campo sin dato,0.Distrito Central,1.Guatemala,0002,presidente
8,,"{'UNE': 17, 'AZUL': 4, 'VALOR UNIONISTA': 35, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 4, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 68, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 8, 'VIVA': 8, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 20}",1,29,237,0,Algún campo sin dato,0.Distrito Central,1.Guatemala,0002,presidente
9,,"{'UNE': 14, 'AZUL': 4, 'VALOR UNIONISTA': 35, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 70, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 5, 'BIEN': 10, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 30}",0,20,241,0,Algún campo sin dato,0.Distrito Central,1.Guatemala,0002,presidente
10,,"{'UNE': 12, 'AZUL': 4, 'VALOR UNIONISTA': 38, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 50, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 12, 'VIVA': 18, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 21}",0,25,237,0,Algún campo sin dato,0.Distrito Central,1.Guatemala,0002,presidente
