mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
3541,,"{'UNE': 45, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 42, 'FCN-NACION': 1, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 9, 'VIVA': 20, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 17}",5,47,270,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3542,,"{'UNE': 43, 'AZUL': 7, 'VALOR UNIONISTA': 17, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 40, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 7, 'VIVA': 27, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 14}",5,51,270,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3543,,"{'UNE': 38, 'AZUL': 6, 'VALOR UNIONISTA': 21, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 31, 'FCN-NACION': 3, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 12, 'VIVA': 19, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 11}",6,45,261,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3544,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 52, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 15, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 19}",6,34,264,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3545,,"{'UNE': 48, 'AZUL': 5, 'VALOR UNIONISTA': 18, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 7, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 16, 'VIVA': 18, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 16}",3,49,272,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3546,,"{'UNE': 41, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 51, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 16, 'VIVA': 19, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 14}",7,47,279,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3547,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 6, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 10, 'VIVA': 24, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 23}",9,55,294,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3548,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 22, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 2, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 14, 'SEMILLA': 51, 'FCN-NACION': 3, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 11, 'CREO': 2, 'BIEN': 21, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 23}",3,51,298,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3549,,"{'UNE': 34, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 9, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 58, 'FCN-NACION': 4, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 8, 'VIVA': 23, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 27}",4,48,290,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3550,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 12, 'SEMILLA': 59, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 12, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 3, 'VOS': 24}",1,36,237,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3551,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 10, 'SEMILLA': 66, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 9, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 22}",5,45,263,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3552,,"{'UNE': 32, 'AZUL': 6, 'VALOR UNIONISTA': 21, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 14, 'SEMILLA': 55, 'FCN-NACION': 0, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 8, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 18}",5,45,260,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3553,,"{'UNE': 31, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 3, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 53, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 8, 'CREO': 3, 'BIEN': 8, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 28}",4,49,260,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3554,,"{'UNE': 26, 'AZUL': 7, 'VALOR UNIONISTA': 15, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 55, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 10, 'VIVA': 25, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 21}",3,36,262,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0348,presidente
3555,,"{'UNE': 36, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 3, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 12, 'SEMILLA': 40, 'FCN-NACION': 3, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 16, 'VIVA': 33, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 17}",7,44,273,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3556,,"{'UNE': 42, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 10, 'SEMILLA': 49, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 13, 'VIVA': 20, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 18}",2,48,274,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3557,,"{'UNE': 23, 'AZUL': 7, 'VALOR UNIONISTA': 19, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 75, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 11, 'CREO': 1, 'BIEN': 9, 'VIVA': 19, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 21}",5,38,284,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3558,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 14, 'SEMILLA': 39, 'FCN-NACION': 3, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 6, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 19}",4,55,269,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3559,,"{'UNE': 43, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 9, 'PHG': 1, 'PR': 7, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 47, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 7, 'VIVA': 24, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 11}",9,48,270,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3560,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 13, 'SEMILLA': 54, 'FCN-NACION': 1, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 13, 'CREO': 1, 'BIEN': 12, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 11}",9,56,274,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3561,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 50, 'FCN-NACION': 3, 'PPN': 1, 'UR': 8, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 11, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 17}",8,34,244,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3562,,"{'UNE': 39, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 7, 'SEMILLA': 47, 'FCN-NACION': 2, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 8, 'CAMBIO': 1, 'VOS': 14}",8,38,250,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3563,,"{'UNE': 43, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 6, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 10, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 11, 'VIVA': 17, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 17}",11,37,253,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3564,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 45, 'FCN-NACION': 4, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 9, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",5,38,235,4,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3565,,"{'UNE': 42, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 13, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 21}",4,45,229,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3566,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 49, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 8, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 20}",3,42,220,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3567,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 100, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 17, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 23}",0,26,250,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3568,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 90, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 15, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 19}",0,32,227,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3569,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 104, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 10, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",0,27,211,189,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3570,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 99, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 9, 'CAMBIO': 1, 'VOS': 17}",3,30,243,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3571,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 99, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 8, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 20}",1,26,218,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3572,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 70, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",2,29,199,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0349,presidente
3573,,"{'UNE': 20, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 70, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 14}",5,21,199,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0350,presidente
3574,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 53, 'FCN-NACION': 4, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 9, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 12}",4,22,178,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0350,presidente
3575,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 48, 'FCN-NACION': 3, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 12}",3,33,155,0,Algún campo sin dato,1.Guatemala,10.San Juan Sacatepéquez,0350,presidente
