mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
3865,,"{'UNE': 20, 'AZUL': 4, 'VALOR UNIONISTA': 12, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 9, 'PHG': 3, 'PR': 2, 'PIN': 2, 'ELEFANTE': 7, 'VICTORIA': 3, 'SEMILLA': 52, 'FCN-NACION': 1, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 12, 'VIVA': 44, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 17}",10,43,276,1,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
3866,,"{'UNE': 33, 'AZUL': 7, 'VALOR UNIONISTA': 16, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 12, 'VICTORIA': 6, 'SEMILLA': 52, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 39, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 26}",15,61,307,1,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
3867,,"{'UNE': 37, 'AZUL': 10, 'VALOR UNIONISTA': 11, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 4, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 0, 'UR': 9, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 7, 'VIVA': 43, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 20}",10,52,283,1,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
3868,,"{'UNE': 32, 'AZUL': 15, 'VALOR UNIONISTA': 12, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 8, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 13, 'VICTORIA': 5, 'SEMILLA': 36, 'FCN-NACION': 3, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 14, 'VIVA': 45, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 23}",15,49,303,0,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
3869,,"{'UNE': 35, 'AZUL': 13, 'VALOR UNIONISTA': 15, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 9, 'VICTORIA': 2, 'SEMILLA': 46, 'FCN-NACION': 2, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 7, 'VIVA': 47, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 24}",21,40,301,0,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
3870,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 6, 'SEMILLA': 62, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 9, 'VIVA': 43, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 22}",7,50,271,0,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
3871,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 52, 'FCN-NACION': 3, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 8, 'VIVA': 40, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 20}",13,48,253,0,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
3872,,"{'UNE': 26, 'AZUL': 6, 'VALOR UNIONISTA': 11, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 5, 'SEMILLA': 57, 'FCN-NACION': 2, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 26}",10,47,270,0,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
3873,,"{'UNE': 26, 'AZUL': 7, 'VALOR UNIONISTA': 14, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 13, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 8, 'SEMILLA': 53, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 7, 'VIVA': 30, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 35}",7,47,289,0,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
3874,,"{'UNE': 27, 'AZUL': 7, 'VALOR UNIONISTA': 10, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 2, 'SEMILLA': 38, 'FCN-NACION': 4, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 1, 'VIVA': 49, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 25}",12,49,265,0,Algún campo sin dato,1.Guatemala,11.San Raimundo,0379,presidente
