mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
3918,,"{'UNE': 28, 'AZUL': 31, 'VALOR UNIONISTA': 7, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 32, 'PHG': 25, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 10, 'CREO': 3, 'BIEN': 6, 'VIVA': 33, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",29,48,307,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0388,presidente
3919,,"{'UNE': 34, 'AZUL': 40, 'VALOR UNIONISTA': 9, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 27, 'PHG': 16, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 3, 'BIEN': 15, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",20,47,319,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0388,presidente
3920,,"{'UNE': 33, 'AZUL': 40, 'VALOR UNIONISTA': 6, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 38, 'PHG': 19, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 12, 'CREO': 5, 'BIEN': 10, 'VIVA': 36, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 9}",23,46,326,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0388,presidente
3921,,"{'UNE': 40, 'AZUL': 39, 'VALOR UNIONISTA': 7, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 37, 'PHG': 28, 'PR': 2, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 9, 'BIEN': 8, 'VIVA': 41, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",12,54,320,0,Sumas Asentadas sin cuadrar,1.Guatemala,12.Chuarrancho,0388,presidente
3922,,"{'UNE': 27, 'AZUL': 64, 'VALOR UNIONISTA': 7, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 40, 'PHG': 28, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 6, 'BIEN': 4, 'VIVA': 3, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",17,46,293,1,Sumas Asentadas sin cuadrar,1.Guatemala,12.Chuarrancho,0388,presidente
3923,,"{'UNE': 25, 'AZUL': 53, 'VALOR UNIONISTA': 12, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 34, 'PHG': 25, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 9, 'VIVA': 43, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",13,61,339,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0388,presidente
3924,,"{'UNE': 35, 'AZUL': 49, 'VALOR UNIONISTA': 7, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 42, 'PHG': 24, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 6, 'VIVA': 38, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",22,50,330,1,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0388,presidente
3925,,"{'UNE': 37, 'AZUL': 57, 'VALOR UNIONISTA': 5, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 61, 'PHG': 25, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 6, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",28,47,356,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0388,presidente
3926,,"{'UNE': 26, 'AZUL': 53, 'VALOR UNIONISTA': 4, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 48, 'PHG': 34, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 3, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 9, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",18,61,337,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0388,presidente
3927,,"{'UNE': 40, 'AZUL': 38, 'VALOR UNIONISTA': 10, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 52, 'PHG': 27, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 2, 'UR': 7, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 15, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",16,57,332,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0388,presidente
3928,,"{'UNE': 23, 'AZUL': 38, 'VALOR UNIONISTA': 6, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 31, 'PHG': 10, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 4, 'VIVA': 48, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 13}",3,43,290,0,,1.Guatemala,12.Chuarrancho,0389,presidente
3929,,"{'UNE': 24, 'AZUL': 38, 'VALOR UNIONISTA': 5, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 19, 'PHG': 18, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 13, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",12,46,277,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0389,presidente
3930,,"{'UNE': 25, 'AZUL': 36, 'VALOR UNIONISTA': 9, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 19, 'PHG': 20, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 13, 'CREO': 0, 'BIEN': 10, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",5,52,280,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0389,presidente
3931,,"{'UNE': 26, 'AZUL': 31, 'VALOR UNIONISTA': 8, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 28, 'PHG': 10, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 41, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",6,47,267,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0389,presidente
3932,,"{'UNE': 39, 'AZUL': 33, 'VALOR UNIONISTA': 9, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 14, 'PHG': 10, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 21, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 4, 'BIEN': 5, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",11,53,284,1,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0389,presidente
3933,,"{'UNE': 13, 'AZUL': 45, 'VALOR UNIONISTA': 6, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 20, 'PHG': 23, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",9,52,269,0,Algún campo sin dato,1.Guatemala,12.Chuarrancho,0389,presidente
