mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
3952,,"{'UNE': 46, 'AZUL': 10, 'VALOR UNIONISTA': 45, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 34, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 9, 'VIVA': 15, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 11}",9,42,293,0,Algún campo sin dato,1.Guatemala,13.Fraijanes,0395,presidente
3953,,"{'UNE': 59, 'AZUL': 2, 'VALOR UNIONISTA': 68, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 29, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 21, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 7, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",9,51,289,0,Algún campo sin dato,1.Guatemala,13.Fraijanes,0395,presidente
3954,,"{'UNE': 58, 'AZUL': 8, 'VALOR UNIONISTA': 55, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 23, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",11,51,301,98,Algún campo sin dato,1.Guatemala,13.Fraijanes,0395,presidente
3955,,"{'UNE': 41, 'AZUL': 4, 'VALOR UNIONISTA': 54, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 36, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 10, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 14}",13,60,307,0,Algún campo sin dato,1.Guatemala,13.Fraijanes,0395,presidente
3956,,"{'UNE': 53, 'AZUL': 8, 'VALOR UNIONISTA': 64, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 8, 'VIVA': 16, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 10}",18,62,330,0,Sumas Asentadas sin cuadrar,1.Guatemala,13.Fraijanes,0395,presidente
3957,,"{'UNE': 45, 'AZUL': 5, 'VALOR UNIONISTA': 65, 'CABAL': 9, 'TODOS': 2, 'VAMOS': 28, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",12,46,304,0,Sumas Asentadas sin cuadrar,1.Guatemala,13.Fraijanes,0396,presidente
3958,,"{'UNE': 48, 'AZUL': 4, 'VALOR UNIONISTA': 69, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 41, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 18, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",21,65,329,0,,1.Guatemala,13.Fraijanes,0396,presidente
3959,,"{'UNE': 56, 'AZUL': 10, 'VALOR UNIONISTA': 77, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 37, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 8}",23,33,322,0,Algún campo sin dato,1.Guatemala,13.Fraijanes,0396,presidente
3960,,"{'UNE': 73, 'AZUL': 1, 'VALOR UNIONISTA': 52, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 35, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 13}",23,54,326,0,Algún campo sin dato,1.Guatemala,13.Fraijanes,0396,presidente
3961,,"{'UNE': 61, 'AZUL': 6, 'VALOR UNIONISTA': 76, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 50, 'PHG': 0, 'PR': 8, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 8}",18,46,351,0,,1.Guatemala,13.Fraijanes,0396,presidente
