mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
4038,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 36, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 2, 'PHG': 1, 'PR': 6, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 48, 'FCN-NACION': 1, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 8, 'CREO': 5, 'BIEN': 25, 'VIVA': 21, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 21}",1,44,282,0,Algún campo sin dato,1.Guatemala,14.Amatitlán,0405,presidente
4039,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 32, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 4, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 55, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 15, 'VIVA': 14, 'MI FAMILIA': 11, 'CAMBIO': 1, 'VOS': 26}",3,33,273,0,Algún campo sin dato,1.Guatemala,14.Amatitlán,0405,presidente
4040,,"{'UNE': 21, 'AZUL': 3, 'VALOR UNIONISTA': 30, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 4, 'PHG': 2, 'PR': 4, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 52, 'FCN-NACION': 1, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 12, 'CREO': 3, 'BIEN': 21, 'VIVA': 13, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 28}",3,27,259,0,Algún campo sin dato,1.Guatemala,14.Amatitlán,0405,presidente
4041,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 42, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 1, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 5, 'UR': 8, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 12, 'VIVA': 10, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 28}",2,33,261,0,Algún campo sin dato,1.Guatemala,14.Amatitlán,0405,presidente
4042,,"{'UNE': 15, 'AZUL': 8, 'VALOR UNIONISTA': 32, 'CABAL': 33, 'TODOS': 3, 'VAMOS': 6, 'PHG': 0, 'PR': 8, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 62, 'FCN-NACION': 5, 'PPN': 6, 'UR': 8, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 12, 'VIVA': 13, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 24}",0,37,293,0,Algún campo sin dato,1.Guatemala,14.Amatitlán,0405,presidente
4043,,"{'UNE': 9, 'AZUL': 5, 'VALOR UNIONISTA': 37, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 66, 'FCN-NACION': 1, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 12, 'VIVA': 14, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 26}",1,42,278,0,Algún campo sin dato,1.Guatemala,14.Amatitlán,0405,presidente
4044,,"{'UNE': 14, 'AZUL': 3, 'VALOR UNIONISTA': 38, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 0, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 8, 'SEMILLA': 56, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 15, 'VIVA': 19, 'MI FAMILIA': 13, 'CAMBIO': 2, 'VOS': 28}",4,33,284,0,Algún campo sin dato,1.Guatemala,14.Amatitlán,0405,presidente
4045,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 34, 'CABAL': 36, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 58, 'FCN-NACION': 2, 'PPN': 8, 'UR': 3, 'URNG-MAIZ WINAQ': 13, 'CREO': 6, 'BIEN': 14, 'VIVA': 11, 'MI FAMILIA': 11, 'CAMBIO': 0, 'VOS': 34}",2,30,294,0,,1.Guatemala,14.Amatitlán,0405,presidente
4046,,"{'UNE': 18, 'AZUL': 6, 'VALOR UNIONISTA': 40, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 48, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 16, 'VIVA': 14, 'MI FAMILIA': 8, 'CAMBIO': 1, 'VOS': 32}",1,38,276,0,Algún campo sin dato,1.Guatemala,14.Amatitlán,0405,presidente
4047,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 49, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 53, 'FCN-NACION': 2, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 25, 'VIVA': 9, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 20}",4,44,269,0,Algún campo sin dato,1.Guatemala,14.Amatitlán,0405,presidente
