mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
4246,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 28, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 13, 'SEMILLA': 59, 'FCN-NACION': 1, 'PPN': 1, 'UR': 10, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 7, 'VIVA': 17, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 22}",3,47,265,0,Sumas Asentadas sin cuadrar,1.Guatemala,15.Villa Nueva,0438,presidente
4247,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 26, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 3, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 51, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 5, 'BIEN': 9, 'VIVA': 11, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 20}",6,42,257,0,Algún campo sin dato,1.Guatemala,15.Villa Nueva,0438,presidente
4248,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 27, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 7, 'PHG': 1, 'PR': 8, 'PIN': 4, 'ELEFANTE': 4, 'VICTORIA': 9, 'SEMILLA': 68, 'FCN-NACION': 1, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 2, 'CREO': 5, 'BIEN': 7, 'VIVA': 11, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 13}",1,37,258,0,Algún campo sin dato,1.Guatemala,15.Villa Nueva,0438,presidente
4249,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 27, 'CABAL': 14, 'TODOS': 3, 'VAMOS': 9, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 58, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 10, 'VIVA': 23, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 21}",2,46,257,0,Algún campo sin dato,1.Guatemala,15.Villa Nueva,0438,presidente
4250,,"{'UNE': 18, 'AZUL': 5, 'VALOR UNIONISTA': 31, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 5, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 11, 'SEMILLA': 55, 'FCN-NACION': 2, 'PPN': 1, 'UR': 10, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 15, 'VIVA': 11, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 16}",2,37,255,0,Algún campo sin dato,1.Guatemala,15.Villa Nueva,0438,presidente
4251,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 36, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 9, 'PHG': 3, 'PR': 3, 'PIN': 3, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 75, 'FCN-NACION': 0, 'PPN': 1, 'UR': 9, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 13, 'VIVA': 11, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 21}",3,27,273,0,Algún campo sin dato,1.Guatemala,15.Villa Nueva,0438,presidente
4252,,"{'UNE': 17, 'AZUL': 4, 'VALOR UNIONISTA': 27, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 58, 'FCN-NACION': 0, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 10, 'VIVA': 9, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 22}",1,53,267,0,Algún campo sin dato,1.Guatemala,15.Villa Nueva,0438,presidente
4253,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 30, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 7, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 48, 'FCN-NACION': 1, 'PPN': 1, 'UR': 12, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 15, 'VIVA': 15, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 22}",1,43,262,0,Algún campo sin dato,1.Guatemala,15.Villa Nueva,0439,presidente
4254,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 10, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 60, 'FCN-NACION': 1, 'PPN': 0, 'UR': 10, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 11, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 27}",0,36,268,0,Algún campo sin dato,1.Guatemala,15.Villa Nueva,0439,presidente
4255,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 3, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 71, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 10, 'VIVA': 9, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 22}",0,29,238,0,Algún campo sin dato,1.Guatemala,15.Villa Nueva,0439,presidente
