mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
4886,,"{'UNE': 36, 'AZUL': 6, 'VALOR UNIONISTA': 26, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 4, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 50, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 26}",0,39,258,0,Algún campo sin dato,1.Guatemala,16.Villa Canales,0483,presidente
4887,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 35, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 57, 'FCN-NACION': 2, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 13, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",2,37,266,0,Algún campo sin dato,1.Guatemala,16.Villa Canales,0483,presidente
4888,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 31, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 8, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 49, 'FCN-NACION': 3, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 15, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 19}",4,49,273,0,Algún campo sin dato,1.Guatemala,16.Villa Canales,0483,presidente
4889,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 13, 'SEMILLA': 44, 'FCN-NACION': 5, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 5, 'BIEN': 12, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",4,52,258,0,Algún campo sin dato,1.Guatemala,16.Villa Canales,0483,presidente
4890,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 20, 'TODOS': 4, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 13, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 18}",1,50,261,0,,1.Guatemala,16.Villa Canales,0483,presidente
4891,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 40, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 47, 'FCN-NACION': 3, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 21, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 14}",8,38,249,0,Algún campo sin dato,1.Guatemala,16.Villa Canales,0483,presidente
4892,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 24, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 62, 'FCN-NACION': 0, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 3, 'BIEN': 12, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",2,34,257,0,Algún campo sin dato,1.Guatemala,16.Villa Canales,0483,presidente
4893,,"{'UNE': 33, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 6, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 61, 'FCN-NACION': 1, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 16, 'VIVA': 12, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 21}",5,29,248,0,Algún campo sin dato,1.Guatemala,16.Villa Canales,0483,presidente
4894,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 29, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 4, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 61, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 15, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 21}",0,37,235,0,Algún campo sin dato,1.Guatemala,16.Villa Canales,0483,presidente
4895,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 33, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 7, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 52, 'FCN-NACION': 3, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 5, 'BIEN': 26, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 20}",5,42,272,0,Algún campo sin dato,1.Guatemala,16.Villa Canales,0483,presidente
