mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
2175,,"{'UNE': 57, 'AZUL': 4, 'VALOR UNIONISTA': 29, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 12, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 17}",4,48,284,0,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2176,,"{'UNE': 50, 'AZUL': 4, 'VALOR UNIONISTA': 21, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 39, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 13}",8,41,261,0,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2177,,"{'UNE': 38, 'AZUL': 5, 'VALOR UNIONISTA': 28, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 29, 'FCN-NACION': 3, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 8, 'BIEN': 12, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",5,46,252,0,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2178,,"{'UNE': 39, 'AZUL': 10, 'VALOR UNIONISTA': 32, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 53, 'FCN-NACION': 1, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 11, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 10}",8,44,284,0,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2179,,"{'UNE': 47, 'AZUL': 9, 'VALOR UNIONISTA': 31, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 10, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 14}",9,53,280,120,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2180,,"{'UNE': 49, 'AZUL': 3, 'VALOR UNIONISTA': 37, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 3, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 29, 'FCN-NACION': 5, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 10, 'VIVA': 12, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 9}",11,38,264,4,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2181,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 33, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",6,58,278,0,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2182,,"{'UNE': 36, 'AZUL': 6, 'VALOR UNIONISTA': 30, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 2, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 45, 'FCN-NACION': 1, 'PPN': 5, 'UR': 8, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 9, 'VIVA': 20, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 15}",4,60,288,0,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2183,,"{'UNE': 38, 'AZUL': 5, 'VALOR UNIONISTA': 31, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 2, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 44, 'FCN-NACION': 0, 'PPN': 3, 'UR': 9, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 6, 'VIVA': 19, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 7}",0,49,265,0,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2184,,"{'UNE': 55, 'AZUL': 6, 'VALOR UNIONISTA': 27, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 5, 'PHG': 1, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 8, 'VIVA': 16, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 11}",20,48,301,0,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
2185,,"{'UNE': 35, 'AZUL': 5, 'VALOR UNIONISTA': 32, 'CABAL': 37, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 51, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 2, 'BIEN': 17, 'VIVA': 17, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 11}",7,48,301,0,Algún campo sin dato,1.Guatemala,3.San José Pinula,0173,presidente
