mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
2633,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 37, 'TODOS': 0, 'VAMOS': 40, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 6, 'VICTORIA': 6, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 11}",13,48,267,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0232,presidente
2634,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 5, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 9}",16,54,261,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0232,presidente
2635,,"{'UNE': 58, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 37, 'TODOS': 1, 'VAMOS': 26, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 4, 'BIEN': 5, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",15,45,257,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0232,presidente
2636,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 40, 'TODOS': 2, 'VAMOS': 32, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 6, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 8}",15,43,264,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0232,presidente
2637,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 35, 'TODOS': 3, 'VAMOS': 40, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 7, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",18,55,282,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0232,presidente
2638,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 38, 'TODOS': 2, 'VAMOS': 43, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 3, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 6, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 15}",10,48,290,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0232,presidente
2639,,"{'UNE': 71, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 44, 'TODOS': 0, 'VAMOS': 41, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",14,49,294,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0232,presidente
2640,,"{'UNE': 44, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 40, 'TODOS': 0, 'VAMOS': 34, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 14, 'VICTORIA': 1, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",15,52,289,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0232,presidente
2641,,"{'UNE': 49, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 12, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",24,60,276,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0233,presidente
2642,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 34, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 9, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 5, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",3,42,247,0,Algún campo sin dato,1.Guatemala,7.San Pedro Ayampuc,0233,presidente
