mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
2723,,"{'UNE': 12, 'AZUL': 2, 'VALOR UNIONISTA': 27, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 6, 'PHG': 2, 'PR': 5, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 17, 'SEMILLA': 66, 'FCN-NACION': 3, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 16, 'VIVA': 17, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 31}",2,48,288,0,Algún campo sin dato,1.Guatemala,8.Mixco,0245,presidente
2724,,"{'UNE': 14, 'AZUL': 4, 'VALOR UNIONISTA': 28, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 6, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 22, 'SEMILLA': 54, 'FCN-NACION': 1, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 22, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 20}",2,33,258,0,Algún campo sin dato,1.Guatemala,8.Mixco,0245,presidente
2725,,"{'UNE': 12, 'AZUL': 4, 'VALOR UNIONISTA': 27, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 7, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 13, 'SEMILLA': 54, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 17, 'VIVA': 17, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 42}",3,32,277,0,Algún campo sin dato,1.Guatemala,8.Mixco,0245,presidente
2726,,"{'UNE': 12, 'AZUL': 5, 'VALOR UNIONISTA': 40, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 18, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 11, 'VIVA': 15, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 39}",2,45,283,0,Algún campo sin dato,1.Guatemala,8.Mixco,0245,presidente
2727,,"{'UNE': 12, 'AZUL': 8, 'VALOR UNIONISTA': 34, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 15, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 13, 'VIVA': 14, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 28}",5,40,265,0,Algún campo sin dato,1.Guatemala,8.Mixco,0245,presidente
2728,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 5, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 23, 'SEMILLA': 70, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 16, 'VIVA': 19, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 37}",0,29,271,0,Algún campo sin dato,1.Guatemala,8.Mixco,0245,presidente
2729,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 24, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 4, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 15, 'SEMILLA': 83, 'FCN-NACION': 1, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 12, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 33}",1,23,265,0,Algún campo sin dato,1.Guatemala,8.Mixco,0246,presidente
2730,,"{'UNE': 10, 'AZUL': 9, 'VALOR UNIONISTA': 19, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 0, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 19, 'SEMILLA': 75, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 17, 'VIVA': 13, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 28}",0,33,263,0,Algún campo sin dato,1.Guatemala,8.Mixco,0246,presidente
2731,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 29, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 0, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 13, 'SEMILLA': 74, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 12, 'VIVA': 14, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 31}",1,38,264,39,Sumas Asentadas sin cuadrar,1.Guatemala,8.Mixco,0246,presidente
2732,,"{'UNE': 15, 'AZUL': 4, 'VALOR UNIONISTA': 29, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 5, 'PHG': 3, 'PR': 3, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 24, 'SEMILLA': 59, 'FCN-NACION': 1, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 10, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 42}",0,23,278,0,Algún campo sin dato,1.Guatemala,8.Mixco,0246,presidente
