mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
3468,,"{'UNE': 45, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 4, 'SEMILLA': 57, 'FCN-NACION': 1, 'PPN': 7, 'UR': 6, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 51, 'MI FAMILIA': 7, 'CAMBIO': 2, 'VOS': 12}",18,50,333,0,,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
3469,,"{'UNE': 52, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 5, 'SEMILLA': 47, 'FCN-NACION': 3, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 8, 'VIVA': 44, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 24}",17,51,328,0,Algún campo sin dato,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
3470,,"{'UNE': 37, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 12, 'TODOS': 2, 'VAMOS': 20, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 54, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 6, 'VIVA': 44, 'MI FAMILIA': 5, 'CAMBIO': 6, 'VOS': 18}",16,51,322,0,Algún campo sin dato,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
3471,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 26, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 70, 'FCN-NACION': 2, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 9, 'VIVA': 42, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 23}",16,37,346,0,Algún campo sin dato,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
3472,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 26, 'PHG': 1, 'PR': 6, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 59, 'FCN-NACION': 1, 'PPN': 5, 'UR': 5, 'URNG-MAIZ WINAQ': 10, 'CREO': 3, 'BIEN': 4, 'VIVA': 25, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 27}",12,56,339,0,Algún campo sin dato,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
3473,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 74, 'FCN-NACION': 3, 'PPN': 5, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 8, 'VIVA': 33, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 26}",10,53,341,7,Algún campo sin dato,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
3474,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 28, 'PHG': 2, 'PR': 3, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 5, 'SEMILLA': 62, 'FCN-NACION': 0, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 5, 'BIEN': 4, 'VIVA': 40, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 29}",11,59,348,0,Algún campo sin dato,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
3475,,"{'UNE': 28, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 81, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 9, 'VIVA': 49, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 39}",4,42,326,0,Algún campo sin dato,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
3476,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 78, 'FCN-NACION': 7, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 10, 'VIVA': 43, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 26}",8,40,319,0,Algún campo sin dato,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
3477,,"{'UNE': 56, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 3, 'SEMILLA': 59, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 46, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 25}",15,51,336,0,Algún campo sin dato,1.Guatemala,9.San Pedro Sacatepéquez,0337,presidente
