mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12132,,"{'UNE': 45, 'AZUL': 9, 'VALOR UNIONISTA': 18, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 14, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 3, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 8, 'VIVA': 35, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 16}",14,44,269,0,Algún campo sin dato,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
12133,,"{'UNE': 51, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 3, 'VIVA': 27, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 19}",19,59,270,0,Algún campo sin dato,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
12134,,"{'UNE': 51, 'AZUL': 7, 'VALOR UNIONISTA': 14, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 23, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 5, 'VIVA': 28, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 13}",22,54,276,0,Algún campo sin dato,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
12135,,"{'UNE': 46, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 31, 'MI FAMILIA': 5, 'CAMBIO': 2, 'VOS': 16}",8,55,271,0,Algún campo sin dato,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
12136,,"{'UNE': 62, 'AZUL': 6, 'VALOR UNIONISTA': 14, 'CABAL': 9, 'TODOS': 2, 'VAMOS': 21, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 1, 'VIVA': 44, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",24,45,287,0,Algún campo sin dato,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
12137,,"{'UNE': 53, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 10, 'TODOS': 4, 'VAMOS': 13, 'PHG': 3, 'PR': 3, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 33, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 7, 'VIVA': 22, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 22}",6,55,272,0,Algún campo sin dato,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
12138,,"{'UNE': 49, 'AZUL': 8, 'VALOR UNIONISTA': 15, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 17, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 48, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 11, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 27}",12,48,298,0,,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
12139,,"{'UNE': 64, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 14, 'TODOS': 3, 'VAMOS': 16, 'PHG': 4, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 6, 'VIVA': 34, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",135,71,400,0,,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
12140,,"{'UNE': 51, 'AZUL': 7, 'VALOR UNIONISTA': 7, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 18, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 34, 'FCN-NACION': 3, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 3, 'VIVA': 34, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",9,42,255,0,,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
12141,,"{'UNE': 35, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 9, 'VIVA': 38, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 23}",10,45,247,0,Algún campo sin dato,10.Suchitepéquez,10.San Antonio Suchitepéquez,1642,presidente
