mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12209,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 29, 'TODOS': 16, 'VAMOS': 30, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 7}",39,58,297,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1653,presidente
12210,,"{'UNE': 57, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 31, 'TODOS': 19, 'VAMOS': 48, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",57,40,312,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1653,presidente
12211,,"{'UNE': 64, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 41, 'TODOS': 17, 'VAMOS': 46, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 36, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",52,51,332,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1653,presidente
12212,,"{'UNE': 62, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 42, 'TODOS': 21, 'VAMOS': 39, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",49,46,332,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1653,presidente
12213,,"{'UNE': 57, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 22, 'TODOS': 10, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 47, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",33,60,275,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1654,presidente
12214,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 28, 'TODOS': 21, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 4, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",33,55,284,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1654,presidente
12215,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 37, 'TODOS': 19, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 41, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",32,59,293,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1654,presidente
12216,,"{'UNE': 53, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 18, 'TODOS': 11, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 40, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",18,53,250,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1654,presidente
12217,,"{'UNE': 36, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 21, 'TODOS': 19, 'VAMOS': 35, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 40, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 2}",24,52,255,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1654,presidente
12218,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 62, 'TODOS': 25, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",39,68,299,0,Algún campo sin dato,10.Suchitepéquez,11.San Miguel Panán,1655,presidente
