mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12231,,"{'UNE': 57, 'AZUL': 18, 'VALOR UNIONISTA': 9, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 15}",34,52,294,107,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1658,presidente
12232,,"{'UNE': 50, 'AZUL': 15, 'VALOR UNIONISTA': 13, 'CABAL': 31, 'TODOS': 1, 'VAMOS': 14, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 8, 'VOS': 10}",37,51,295,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1658,presidente
12233,,"{'UNE': 52, 'AZUL': 18, 'VALOR UNIONISTA': 11, 'CABAL': 33, 'TODOS': 1, 'VAMOS': 17, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 2, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 7, 'VOS': 9}",45,60,316,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1658,presidente
12234,,"{'UNE': 36, 'AZUL': 19, 'VALOR UNIONISTA': 9, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 24, 'PHG': 3, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 34, 'MI FAMILIA': 2, 'CAMBIO': 9, 'VOS': 12}",42,38,297,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1658,presidente
12235,,"{'UNE': 47, 'AZUL': 18, 'VALOR UNIONISTA': 10, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 34, 'MI FAMILIA': 4, 'CAMBIO': 14, 'VOS': 18}",36,53,315,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1658,presidente
12236,,"{'UNE': 65, 'AZUL': 26, 'VALOR UNIONISTA': 9, 'CABAL': 24, 'TODOS': 3, 'VAMOS': 19, 'PHG': 4, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 13, 'FCN-NACION': 4, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 9, 'VOS': 5}",47,37,317,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1658,presidente
12237,,"{'UNE': 41, 'AZUL': 20, 'VALOR UNIONISTA': 10, 'CABAL': 30, 'TODOS': 2, 'VAMOS': 28, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 3, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 13, 'VOS': 8}",30,59,302,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1658,presidente
12238,,"{'UNE': 39, 'AZUL': 15, 'VALOR UNIONISTA': 7, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 15, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 24, 'FCN-NACION': 2, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 10, 'VOS': 15}",25,52,265,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1658,presidente
12239,,"{'UNE': 48, 'AZUL': 16, 'VALOR UNIONISTA': 10, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 39, 'MI FAMILIA': 0, 'CAMBIO': 8, 'VOS': 6}",21,45,259,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1659,presidente
12240,,"{'UNE': 51, 'AZUL': 12, 'VALOR UNIONISTA': 10, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 5, 'CAMBIO': 8, 'VOS': 10}",18,60,271,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1659,presidente
12241,,"{'UNE': 29, 'AZUL': 13, 'VALOR UNIONISTA': 9, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 8, 'VOS': 6}",31,55,240,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1659,presidente
12242,,"{'UNE': 45, 'AZUL': 11, 'VALOR UNIONISTA': 6, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 6, 'VOS': 2}",47,53,264,0,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1659,presidente
12243,,"{'UNE': 47, 'AZUL': 12, 'VALOR UNIONISTA': 10, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 16, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 3, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 4, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 8, 'VOS': 11}",16,42,237,1,Algún campo sin dato,10.Suchitepéquez,12.San Gabriel,1659,presidente
