mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12251,,"{'UNE': 39, 'AZUL': 2, 'VALOR UNIONISTA': 28, 'CABAL': 25, 'TODOS': 4, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 3, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 8, 'VIVA': 45, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 12}",7,50,269,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,13.Chicacao,1661,presidente
12252,,"{'UNE': 43, 'AZUL': 5, 'VALOR UNIONISTA': 35, 'CABAL': 22, 'TODOS': 7, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 38, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 12}",10,51,280,0,Algún campo sin dato,10.Suchitepéquez,13.Chicacao,1661,presidente
12253,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 33, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 6, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 19}",16,51,281,0,Algún campo sin dato,10.Suchitepéquez,13.Chicacao,1661,presidente
12254,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 41, 'TODOS': 3, 'VAMOS': 17, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",9,47,273,0,Algún campo sin dato,10.Suchitepéquez,13.Chicacao,1661,presidente
12255,,"{'UNE': 44, 'AZUL': 2, 'VALOR UNIONISTA': 34, 'CABAL': 26, 'TODOS': 5, 'VAMOS': 12, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 42, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 12}",19,47,282,0,Algún campo sin dato,10.Suchitepéquez,13.Chicacao,1661,presidente
12256,,"{'UNE': 43, 'AZUL': 7, 'VALOR UNIONISTA': 30, 'CABAL': 35, 'TODOS': 4, 'VAMOS': 15, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 28, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 5, 'VIVA': 39, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 13}",15,51,302,0,Algún campo sin dato,10.Suchitepéquez,13.Chicacao,1661,presidente
12257,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 30, 'CABAL': 15, 'TODOS': 6, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 5, 'VIVA': 39, 'MI FAMILIA': 3, 'CAMBIO': 3, 'VOS': 16}",17,51,279,0,Algún campo sin dato,10.Suchitepéquez,13.Chicacao,1661,presidente
12258,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 15, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 38, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 12}",12,32,269,0,Algún campo sin dato,10.Suchitepéquez,13.Chicacao,1661,presidente
12259,,"{'UNE': 34, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 19, 'TODOS': 7, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 44, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 20}",8,53,248,0,Algún campo sin dato,10.Suchitepéquez,13.Chicacao,1662,presidente
12260,,"{'UNE': 38, 'AZUL': 4, 'VALOR UNIONISTA': 24, 'CABAL': 25, 'TODOS': 5, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 40, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 12}",11,39,256,0,Algún campo sin dato,10.Suchitepéquez,13.Chicacao,1662,presidente
