mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12394,,"{'UNE': 81, 'AZUL': 22, 'VALOR UNIONISTA': 12, 'CABAL': 17, 'TODOS': 11, 'VAMOS': 14, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 12, 'VICTORIA': 0, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 12, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 30, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",11,57,305,0,Algún campo sin dato,10.Suchitepéquez,15.Santa Bárbara,1687,presidente
12395,,"{'UNE': 76, 'AZUL': 22, 'VALOR UNIONISTA': 0, 'CABAL': 21, 'TODOS': 7, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 12, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",25,58,295,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,15.Santa Bárbara,1687,presidente
12396,,"{'UNE': 92, 'AZUL': 9, 'VALOR UNIONISTA': 8, 'CABAL': 23, 'TODOS': 8, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 9, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 40, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 3}",28,28,297,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,15.Santa Bárbara,1687,presidente
12397,,"{'UNE': 79, 'AZUL': 30, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 8, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 4, 'SEMILLA': 10, 'FCN-NACION': 2, 'PPN': 10, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",26,62,308,2,Algún campo sin dato,10.Suchitepéquez,15.Santa Bárbara,1687,presidente
12398,,"{'UNE': 90, 'AZUL': 35, 'VALOR UNIONISTA': 8, 'CABAL': 10, 'TODOS': 7, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 11, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",15,60,312,0,Algún campo sin dato,10.Suchitepéquez,15.Santa Bárbara,1687,presidente
12399,,"{'UNE': 68, 'AZUL': 35, 'VALOR UNIONISTA': 5, 'CABAL': 17, 'TODOS': 9, 'VAMOS': 39, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 21, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 26, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 0}",23,57,333,1,Algún campo sin dato,10.Suchitepéquez,15.Santa Bárbara,1687,presidente
12400,,"{'UNE': 69, 'AZUL': 28, 'VALOR UNIONISTA': 10, 'CABAL': 9, 'TODOS': 4, 'VAMOS': 39, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 38, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",18,43,292,0,Algún campo sin dato,10.Suchitepéquez,15.Santa Bárbara,1687,presidente
12401,,"{'UNE': 53, 'AZUL': 24, 'VALOR UNIONISTA': 7, 'CABAL': 17, 'TODOS': 10, 'VAMOS': 34, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 11, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 9, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",12,60,290,1,,10.Suchitepéquez,15.Santa Bárbara,1688,presidente
12402,,"{'UNE': 69, 'AZUL': 19, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 6, 'VAMOS': 16, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 7, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 2, 'VIVA': 46, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",12,51,285,0,Algún campo sin dato,10.Suchitepéquez,15.Santa Bárbara,1688,presidente
12403,,"{'UNE': 57, 'AZUL': 16, 'VALOR UNIONISTA': 15, 'CABAL': 15, 'TODOS': 6, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 13, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 40, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",13,49,271,0,Algún campo sin dato,10.Suchitepéquez,15.Santa Bárbara,1688,presidente
