mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12451,,"{'UNE': 67, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 29, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 1, 'VIVA': 84, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",28,44,326,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1695,presidente
12452,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 29, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 3, 'VIVA': 107, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 5}",33,45,318,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1695,presidente
12453,,"{'UNE': 58, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 29, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 81, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",29,63,316,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1695,presidente
12454,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 35, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 5, 'VIVA': 80, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",38,42,320,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1695,presidente
12455,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 43, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 1, 'VIVA': 111, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",41,40,335,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1695,presidente
12456,,"{'UNE': 54, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 2, 'VAMOS': 33, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 114, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",41,47,348,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1695,presidente
12457,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 43, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 96, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 11}",39,39,320,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1696,presidente
12458,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 26, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 94, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",26,46,330,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1696,presidente
12459,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 16, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 90, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",19,48,289,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1696,presidente
12460,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 90, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 11}",22,35,291,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1697,presidente
12461,,"{'UNE': 31, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 87, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",22,42,283,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1697,presidente
12462,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 1, 'VIVA': 70, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",27,44,284,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1697,presidente
12463,,"{'UNE': 59, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 83, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",27,45,298,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1697,presidente
12464,,"{'UNE': 45, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 20, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 84, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",17,38,290,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1698,presidente
12465,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 54, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 77, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",10,30,272,0,Algún campo sin dato,10.Suchitepéquez,17.Santo Tomás La Unión,1698,presidente
12466,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 77, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 91, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",7,35,297,0,,10.Suchitepéquez,17.Santo Tomás La Unión,1698,presidente
