mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12473,,"{'UNE': 30, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 8, 'TODOS': 3, 'VAMOS': 72, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 32, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 8, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",45,47,330,0,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1700,presidente
12474,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 68, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 41, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 7, 'VIVA': 35, 'MI FAMILIA': 3, 'CAMBIO': 3, 'VOS': 6}",39,56,334,0,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1700,presidente
12475,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 2, 'TODOS': 3, 'VAMOS': 73, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 38, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 5, 'VOS': 10}",54,56,362,0,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1700,presidente
12476,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 7, 'TODOS': 3, 'VAMOS': 89, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 47, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 14, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 9}",44,57,378,0,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1700,presidente
12477,,"{'UNE': 35, 'AZUL': 5, 'VALOR UNIONISTA': 8, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 91, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 37, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 34, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 8}",59,45,365,0,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1700,presidente
12478,,"{'UNE': 20, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 7, 'TODOS': 3, 'VAMOS': 85, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 65, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 6, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 13}",38,46,355,0,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1700,presidente
12479,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 72, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 52, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 35, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",42,56,348,0,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1700,presidente
12480,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 7, 'TODOS': 3, 'VAMOS': 69, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 25, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 8, 'VIVA': 41, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 9}",28,62,323,77,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1700,presidente
12481,,"{'UNE': 31, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 61, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 33, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 44, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 13}",22,56,330,0,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1700,presidente
12482,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 61, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 32, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 47, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 10}",24,54,319,0,Algún campo sin dato,10.Suchitepéquez,18.Zunilito,1701,presidente
