mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12492,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 38, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 15}",45,65,301,0,Algún campo sin dato,10.Suchitepéquez,19.Pueblo Nuevo,1704,presidente
12493,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 44, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 27, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",58,64,306,0,Algún campo sin dato,10.Suchitepéquez,19.Pueblo Nuevo,1704,presidente
12494,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 11, 'TODOS': 6, 'VAMOS': 41, 'PHG': 3, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 32, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 36, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 13}",76,49,328,0,Algún campo sin dato,10.Suchitepéquez,19.Pueblo Nuevo,1704,presidente
12495,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 6, 'TODOS': 3, 'VAMOS': 55, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 30, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 2, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",67,48,326,0,Algún campo sin dato,10.Suchitepéquez,19.Pueblo Nuevo,1704,presidente
12496,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 4, 'TODOS': 12, 'VAMOS': 57, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 27, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",70,57,324,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,19.Pueblo Nuevo,1704,presidente
12497,,"{'UNE': 42, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 5, 'TODOS': 4, 'VAMOS': 51, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 39, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",72,43,347,0,Algún campo sin dato,10.Suchitepéquez,19.Pueblo Nuevo,1705,presidente
12498,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 6, 'TODOS': 6, 'VAMOS': 29, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 57, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",68,60,339,0,Algún campo sin dato,10.Suchitepéquez,19.Pueblo Nuevo,1705,presidente
12499,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 5, 'TODOS': 9, 'VAMOS': 60, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 42, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",76,43,332,0,Algún campo sin dato,10.Suchitepéquez,19.Pueblo Nuevo,1705,presidente
12500,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 7, 'TODOS': 4, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 32, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 12}",40,56,287,113,Algún campo sin dato,10.Suchitepéquez,19.Pueblo Nuevo,1705,presidente
12501,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 27, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 39, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",34,53,279,2,Sumas Asentadas sin cuadrar,10.Suchitepéquez,19.Pueblo Nuevo,1706,presidente
