mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11847,,"{'UNE': 89, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",25,36,264,0,Algún campo sin dato,10.Suchitepéquez,2.Cuyotenango,1594,presidente
11848,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 8, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 12}",23,48,259,0,Algún campo sin dato,10.Suchitepéquez,2.Cuyotenango,1594,presidente
11849,,"{'UNE': 75, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 34, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 5, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 10}",18,47,285,0,Algún campo sin dato,10.Suchitepéquez,2.Cuyotenango,1594,presidente
11850,,"{'UNE': 77, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 7, 'VIVA': 35, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 12}",15,42,284,96,Algún campo sin dato,10.Suchitepéquez,2.Cuyotenango,1594,presidente
11851,,"{'UNE': 90, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 2, 'VIVA': 37, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 14}",23,43,293,0,Algún campo sin dato,10.Suchitepéquez,2.Cuyotenango,1594,presidente
11852,,"{'UNE': 81, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 31, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",24,65,298,0,Algún campo sin dato,10.Suchitepéquez,2.Cuyotenango,1594,presidente
11853,,"{'UNE': 90, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 25, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 4, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",11,54,289,0,,10.Suchitepéquez,2.Cuyotenango,1594,presidente
11854,,"{'UNE': 87, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 12, 'TODOS': 5, 'VAMOS': 23, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 7, 'VIVA': 28, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 13}",18,40,294,0,,10.Suchitepéquez,2.Cuyotenango,1594,presidente
11855,,"{'UNE': 94, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 11, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",12,44,275,0,,10.Suchitepéquez,2.Cuyotenango,1594,presidente
11856,,"{'UNE': 71, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 27}",10,44,217,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,2.Cuyotenango,1595,presidente
