mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12513,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 7, 'TODOS': 17, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",34,70,297,0,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1710,presidente
12514,,"{'UNE': 51, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 7, 'TODOS': 15, 'VAMOS': 27, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 4, 'VIVA': 46, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 5}",31,52,287,113,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1710,presidente
12515,,"{'UNE': 44, 'AZUL': 4, 'VALOR UNIONISTA': 29, 'CABAL': 5, 'TODOS': 14, 'VAMOS': 35, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 2, 'UR': 7, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 7}",70,39,305,95,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1710,presidente
12516,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 8, 'TODOS': 17, 'VAMOS': 31, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 2, 'UR': 7, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 6, 'VIVA': 49, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 9}",32,68,292,0,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1710,presidente
12517,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 5, 'TODOS': 17, 'VAMOS': 30, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 45, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",31,69,306,0,,10.Suchitepéquez,20.Río Bravo,1710,presidente
12518,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 7, 'TODOS': 16, 'VAMOS': 26, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 8, 'UR': 7, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 41, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",41,65,300,0,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1711,presidente
12519,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 7, 'TODOS': 18, 'VAMOS': 33, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 41, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",25,70,309,9,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1711,presidente
12520,,"{'UNE': 58, 'AZUL': 2, 'VALOR UNIONISTA': 27, 'CABAL': 11, 'TODOS': 19, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 53, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",83,43,353,44,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1711,presidente
12521,,"{'UNE': 55, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 8, 'TODOS': 17, 'VAMOS': 35, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 39, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 5, 'VOS': 0}",29,60,293,0,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1711,presidente
12522,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 5, 'TODOS': 12, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 4, 'UR': 7, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 5, 'VIVA': 43, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",15,32,227,20,Sumas Asentadas sin cuadrar,10.Suchitepéquez,20.Río Bravo,1711,presidente
12523,,"{'UNE': 34, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 6, 'TODOS': 18, 'VAMOS': 27, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",31,37,241,0,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1711,presidente
12524,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 6, 'TODOS': 15, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 21, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 30, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",26,44,256,0,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1711,presidente
12525,,"{'UNE': 38, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 3, 'TODOS': 15, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 48, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",25,53,258,0,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1711,presidente
12526,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 2, 'TODOS': 18, 'VAMOS': 20, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 50, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 8}",24,49,259,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,20.Río Bravo,1712,presidente
12527,,"{'UNE': 31, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 5, 'TODOS': 6, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",36,54,243,0,Algún campo sin dato,10.Suchitepéquez,20.Río Bravo,1712,presidente
12528,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 6, 'TODOS': 16, 'VAMOS': 21, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 8, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 4, 'VIVA': 38, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",15,49,242,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,20.Río Bravo,1712,presidente
