mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12556,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 13, 'TODOS': 8, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 9, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",18,77,249,0,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1717,presidente
12557,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 16, 'TODOS': 12, 'VAMOS': 1, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 7, 'FCN-NACION': 9, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 45, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 4}",29,60,253,0,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1717,presidente
12558,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 16, 'TODOS': 13, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 5, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 44, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",21,68,244,0,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1717,presidente
12559,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 16, 'TODOS': 6, 'VAMOS': 4, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 6, 'FCN-NACION': 9, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 4, 'VIVA': 39, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 10}",14,54,226,0,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1717,presidente
12560,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,Acta ilegible,10.Suchitepéquez,21.San José La Máquina,1717,presidente
12561,,"{'UNE': 45, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 12, 'TODOS': 14, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 9, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",24,61,230,0,,10.Suchitepéquez,21.San José La Máquina,1717,presidente
12562,,"{'UNE': 21, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 9, 'TODOS': 8, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",23,69,204,0,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1717,presidente
12563,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 15, 'TODOS': 6, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 16, 'FCN-NACION': 8, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 37, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",10,67,210,0,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1717,presidente
12564,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 10, 'TODOS': 10, 'VAMOS': 1, 'PHG': 20, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 10, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",11,23,125,169,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1717,presidente
12565,,"{'UNE': 80, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 34, 'TODOS': 15, 'VAMOS': 9, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",41,51,285,113,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1718,presidente
12566,,"{'UNE': 73, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 44, 'TODOS': 16, 'VAMOS': 6, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",40,56,304,0,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1719,presidente
12567,,"{'UNE': 73, 'AZUL': 4, 'VALOR UNIONISTA': 25, 'CABAL': 0, 'TODOS': 13, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 6, 'FCN-NACION': 7, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 33, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",35,62,278,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,21.San José La Máquina,1719,presidente
12568,,"{'UNE': 73, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 29, 'TODOS': 14, 'VAMOS': 7, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 5, 'FCN-NACION': 2, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 43, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",35,59,307,0,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1719,presidente
12569,,"{'UNE': 62, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 32, 'TODOS': 14, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 5, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",42,70,309,0,Algún campo sin dato,10.Suchitepéquez,21.San José La Máquina,1719,presidente
