mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11938,,"{'UNE': 44, 'AZUL': 7, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 28, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 4, 'PPN': 14, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 48, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 11}",33,39,284,0,Algún campo sin dato,10.Suchitepéquez,4.San Bernardino,1608,presidente
11939,,"{'UNE': 38, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 3, 'VAMOS': 23, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 9, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 51, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",26,30,259,0,Algún campo sin dato,10.Suchitepéquez,4.San Bernardino,1608,presidente
11940,,"{'UNE': 38, 'AZUL': 10, 'VALOR UNIONISTA': 12, 'CABAL': 20, 'TODOS': 4, 'VAMOS': 17, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 12, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 56, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",24,54,298,0,,10.Suchitepéquez,4.San Bernardino,1608,presidente
11941,,"{'UNE': 31, 'AZUL': 12, 'VALOR UNIONISTA': 12, 'CABAL': 16, 'TODOS': 9, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 13, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 56, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 4}",17,53,279,0,Algún campo sin dato,10.Suchitepéquez,4.San Bernardino,1608,presidente
11942,,"{'UNE': 41, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 16, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 8, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 10, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 54, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",19,46,261,0,Algún campo sin dato,10.Suchitepéquez,4.San Bernardino,1608,presidente
11943,,"{'UNE': 53, 'AZUL': 7, 'VALOR UNIONISTA': 8, 'CABAL': 10, 'TODOS': 3, 'VAMOS': 17, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 11, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 51, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 11}",24,39,266,0,Algún campo sin dato,10.Suchitepéquez,4.San Bernardino,1608,presidente
11944,,"{'UNE': 47, 'AZUL': 8, 'VALOR UNIONISTA': 10, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 22, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 42, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",26,49,277,0,,10.Suchitepéquez,4.San Bernardino,1608,presidente
11945,,"{'UNE': 57, 'AZUL': 5, 'VALOR UNIONISTA': 4, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 25, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 14, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 0, 'VIVA': 46, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",33,46,274,0,Algún campo sin dato,10.Suchitepéquez,4.San Bernardino,1608,presidente
11946,,"{'UNE': 74, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 22, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 20, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 2, 'VIVA': 45, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",27,56,309,0,Algún campo sin dato,10.Suchitepéquez,4.San Bernardino,1608,presidente
11947,,"{'UNE': 73, 'AZUL': 7, 'VALOR UNIONISTA': 7, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 25, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 27, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 47, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",30,43,305,0,,10.Suchitepéquez,4.San Bernardino,1608,presidente
