mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11964,,"{'UNE': 47, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 42, 'PHG': 1, 'PR': 3, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 24, 'VOS': 2}",43,39,262,1,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
11965,,"{'UNE': 45, 'AZUL': 5, 'VALOR UNIONISTA': 7, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 16, 'VOS': 9}",51,52,269,0,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
11966,,"{'UNE': 56, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 2, 'TODOS': 4, 'VAMOS': 37, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 7, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 23, 'VOS': 2}",59,44,291,0,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
11967,,"{'UNE': 72, 'AZUL': 4, 'VALOR UNIONISTA': 5, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 24, 'VOS': 5}",48,45,281,0,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
11968,,"{'UNE': 61, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 47, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 6, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 26, 'VOS': 6}",62,43,314,0,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
11969,,"{'UNE': 66, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 43, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 4, 'CAMBIO': 23, 'VOS': 4}",74,53,322,0,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
11970,,"{'UNE': 60, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 56, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 10, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 5, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 23, 'VOS': 6}",48,52,312,0,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
11971,,"{'UNE': 66, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 58, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 9, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 25, 'VOS': 5}",42,52,316,0,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
11972,,"{'UNE': 57, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 46, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 26, 'VOS': 8}",36,46,294,0,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
11973,,"{'UNE': 44, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 50, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 19, 'VOS': 4}",32,46,257,0,Algún campo sin dato,10.Suchitepéquez,5.San José El Ídolo,1611,presidente
