mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11983,,"{'UNE': 78, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 4, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",29,49,257,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1613,presidente
11984,,"{'UNE': 54, 'AZUL': 5, 'VALOR UNIONISTA': 12, 'CABAL': 4, 'TODOS': 2, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 0, 'VIVA': 27, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",46,44,253,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1613,presidente
11985,,"{'UNE': 72, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 9, 'TODOS': 2, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",34,59,274,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1613,presidente
11986,,"{'UNE': 69, 'AZUL': 5, 'VALOR UNIONISTA': 10, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 4}",28,56,255,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1613,presidente
11987,,"{'UNE': 91, 'AZUL': 4, 'VALOR UNIONISTA': 12, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 33, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 5}",38,37,277,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1613,presidente
11988,,"{'UNE': 99, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 4, 'TODOS': 4, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 6, 'VIVA': 15, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 5}",26,53,291,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11989,,"{'UNE': 100, 'AZUL': 6, 'VALOR UNIONISTA': 11, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 30, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 14, 'FCN-NACION': 4, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 3}",45,58,328,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11990,,"{'UNE': 61, 'AZUL': 10, 'VALOR UNIONISTA': 12, 'CABAL': 3, 'TODOS': 3, 'VAMOS': 23, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 25, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 5, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 15}",34,58,294,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11991,,"{'UNE': 68, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 7, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 8}",34,67,282,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11992,,"{'UNE': 56, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 13}",15,56,236,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11993,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",13,34,195,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11994,,"{'UNE': 55, 'AZUL': 6, 'VALOR UNIONISTA': 6, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 18}",20,41,227,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11995,,"{'UNE': 69, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",18,46,240,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11996,,"{'UNE': 62, 'AZUL': 4, 'VALOR UNIONISTA': 12, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 26, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",37,58,259,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11997,,"{'UNE': 42, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 8, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",42,47,218,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11998,,"{'UNE': 70, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",18,36,235,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1614,presidente
11999,,"{'UNE': 48, 'AZUL': 6, 'VALOR UNIONISTA': 9, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 54, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",6,38,228,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1615,presidente
12000,,"{'UNE': 45, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",5,49,216,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1615,presidente
12001,,"{'UNE': 56, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 3, 'TODOS': 3, 'VAMOS': 16, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",9,20,162,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1615,presidente
12002,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",9,17,125,0,Algún campo sin dato,10.Suchitepéquez,6.Santo Domingo Suchitepéquez,1615,presidente
