mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12039,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 50, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 4}",46,52,290,0,Sumas Asentadas sin cuadrar,10.Suchitepéquez,7.San Lorenzo,1625,presidente
12040,,"{'UNE': 53, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 33, 'TODOS': 2, 'VAMOS': 42, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 5, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 14}",63,40,314,0,Algún campo sin dato,10.Suchitepéquez,7.San Lorenzo,1625,presidente
12041,,"{'UNE': 31, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 45, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 2, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 9}",51,50,299,0,Algún campo sin dato,10.Suchitepéquez,7.San Lorenzo,1625,presidente
12042,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 35, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 5}",38,39,252,0,Algún campo sin dato,10.Suchitepéquez,7.San Lorenzo,1625,presidente
12043,,"{'UNE': 45, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 35, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 7}",25,37,258,0,Algún campo sin dato,10.Suchitepéquez,7.San Lorenzo,1625,presidente
12044,,"{'UNE': 73, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 19, 'TODOS': 2, 'VAMOS': 20, 'PHG': 4, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 4}",91,55,309,6,Algún campo sin dato,10.Suchitepéquez,7.San Lorenzo,1626,presidente
12045,,"{'UNE': 61, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 8, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 3}",87,58,320,0,Algún campo sin dato,10.Suchitepéquez,7.San Lorenzo,1626,presidente
12046,,"{'UNE': 49, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 23, 'TODOS': 3, 'VAMOS': 29, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 2}",100,77,344,0,Algún campo sin dato,10.Suchitepéquez,7.San Lorenzo,1626,presidente
12047,,"{'UNE': 58, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 36, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 26, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 2}",99,56,330,0,Algún campo sin dato,10.Suchitepéquez,7.San Lorenzo,1626,presidente
12048,,"{'UNE': 45, 'AZUL': 7, 'VALOR UNIONISTA': 7, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 24, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",52,57,274,0,Algún campo sin dato,10.Suchitepéquez,7.San Lorenzo,1626,presidente
