mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12064,,"{'UNE': 48, 'AZUL': 12, 'VALOR UNIONISTA': 8, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 4, 'SEMILLA': 37, 'FCN-NACION': 2, 'PPN': 7, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 6, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 23}",29,66,303,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
12065,,"{'UNE': 49, 'AZUL': 9, 'VALOR UNIONISTA': 16, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 12, 'VICTORIA': 5, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 12, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 9, 'VIVA': 31, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 13}",22,48,298,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
12066,,"{'UNE': 46, 'AZUL': 8, 'VALOR UNIONISTA': 9, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 13, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 13, 'VICTORIA': 6, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 10, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 6, 'VIVA': 35, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 10}",38,53,308,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
12067,,"{'UNE': 39, 'AZUL': 10, 'VALOR UNIONISTA': 16, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 15, 'VICTORIA': 4, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 8, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",26,69,310,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
12068,,"{'UNE': 39, 'AZUL': 9, 'VALOR UNIONISTA': 10, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 16, 'VICTORIA': 8, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 5, 'VIVA': 41, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",26,60,304,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
12069,,"{'UNE': 49, 'AZUL': 8, 'VALOR UNIONISTA': 12, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 11, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 5, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 9, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 22}",22,58,300,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
12070,,"{'UNE': 49, 'AZUL': 7, 'VALOR UNIONISTA': 18, 'CABAL': 4, 'TODOS': 3, 'VAMOS': 12, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 12, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 6, 'VIVA': 41, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 14}",33,62,312,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
12071,,"{'UNE': 41, 'AZUL': 13, 'VALOR UNIONISTA': 17, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 12, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 13, 'VICTORIA': 8, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 14, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 18, 'VIVA': 30, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 19}",22,54,297,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
12072,,"{'UNE': 31, 'AZUL': 10, 'VALOR UNIONISTA': 9, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 10, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 10, 'VICTORIA': 4, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 7, 'VIVA': 39, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 18}",13,53,269,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
12073,,"{'UNE': 34, 'AZUL': 9, 'VALOR UNIONISTA': 12, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 8, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 5, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 44, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 19}",15,53,281,0,Algún campo sin dato,10.Suchitepéquez,8.Samayac,1631,presidente
