mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12593,,"{'UNE': 26, 'AZUL': 3, 'VALOR UNIONISTA': 55, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 25, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 13}",8,45,271,0,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
12594,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 48, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 4, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 31, 'VIVA': 26, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 11}",11,54,303,0,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
12595,,"{'UNE': 24, 'AZUL': 5, 'VALOR UNIONISTA': 58, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 32, 'VIVA': 28, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",8,40,281,0,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
12596,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 47, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 24, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 21}",7,49,283,0,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
12597,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 61, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 24, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 23}",9,42,290,0,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
12598,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 65, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 21, 'VIVA': 22, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 20}",14,35,305,12,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
12599,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 58, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 44, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 5, 'BIEN': 36, 'VIVA': 27, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 17}",6,32,293,0,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
12600,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 44, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 25, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 18}",11,53,297,0,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
12601,,"{'UNE': 24, 'AZUL': 6, 'VALOR UNIONISTA': 60, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 45, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 31, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 19}",9,37,302,0,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
12602,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 46, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 20, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 31}",0,16,228,15,Algún campo sin dato,11.Retalhuleu,1.Retalhuleu,1722,presidente
