mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12739,,"{'UNE': 30, 'AZUL': 11, 'VALOR UNIONISTA': 6, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 7, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",14,80,252,0,Algún campo sin dato,11.Retalhuleu,2.San Sebastián,1738,presidente
12740,,"{'UNE': 21, 'AZUL': 16, 'VALOR UNIONISTA': 8, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 9, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",7,77,260,0,,11.Retalhuleu,2.San Sebastián,1738,presidente
12741,,"{'UNE': 26, 'AZUL': 8, 'VALOR UNIONISTA': 15, 'CABAL': 32, 'TODOS': 3, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 4, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",21,69,295,0,Algún campo sin dato,11.Retalhuleu,2.San Sebastián,1738,presidente
12742,,"{'UNE': 11, 'AZUL': 14, 'VALOR UNIONISTA': 13, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 12}",13,100,294,0,Algún campo sin dato,11.Retalhuleu,2.San Sebastián,1738,presidente
12743,,"{'UNE': 27, 'AZUL': 15, 'VALOR UNIONISTA': 14, 'CABAL': 29, 'TODOS': 3, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 6, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",16,104,298,0,Algún campo sin dato,11.Retalhuleu,2.San Sebastián,1738,presidente
12744,,"{'UNE': 32, 'AZUL': 10, 'VALOR UNIONISTA': 12, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 9, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 5, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",22,81,290,0,Algún campo sin dato,11.Retalhuleu,2.San Sebastián,1738,presidente
12745,,"{'UNE': 17, 'AZUL': 14, 'VALOR UNIONISTA': 8, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 10, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",5,75,235,0,Algún campo sin dato,11.Retalhuleu,2.San Sebastián,1738,presidente
12746,,"{'UNE': 15, 'AZUL': 14, 'VALOR UNIONISTA': 12, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 20}",7,81,248,0,Algún campo sin dato,11.Retalhuleu,2.San Sebastián,1738,presidente
12747,,"{'UNE': 11, 'AZUL': 9, 'VALOR UNIONISTA': 9, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 20}",9,77,243,0,Algún campo sin dato,11.Retalhuleu,2.San Sebastián,1738,presidente
12748,,"{'UNE': 13, 'AZUL': 13, 'VALOR UNIONISTA': 11, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 51, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 21}",7,80,253,0,Algún campo sin dato,11.Retalhuleu,2.San Sebastián,1738,presidente
