mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12788,,"{'UNE': 72, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 43, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",16,61,291,0,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12789,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 53, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 12}",16,53,279,0,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12790,,"{'UNE': 52, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 2, 'VIVA': 47, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",24,48,288,0,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12791,,"{'UNE': 60, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 31, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 5, 'VIVA': 51, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 10}",24,51,314,0,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12792,,"{'UNE': 56, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 33, 'TODOS': 2, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 38, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",30,64,291,1,,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12793,,"{'UNE': 68, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 41, 'TODOS': 1, 'VAMOS': 31, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 53, 'VIVA': 57, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",26,55,381,0,Sumas Asentadas sin cuadrar,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12794,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 31, 'CABAL': 49, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 60, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",23,53,333,0,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12795,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 14, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 48, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 17}",15,26,248,29,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12796,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 50, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 14}",18,52,260,140,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12797,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 53, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",20,51,278,0,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12798,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 31, 'TODOS': 3, 'VAMOS': 26, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 46, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",18,41,285,0,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12799,,"{'UNE': 49, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 39, 'TODOS': 2, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 40, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",17,41,250,2,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12800,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 10, 'VIVA': 39, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 18}",5,52,274,0,Algún campo sin dato,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
12801,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 4, 'VIVA': 52, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",4,44,267,3,,11.Retalhuleu,3.Santa Cruz Muluá,1744,presidente
