mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12841,,"{'UNE': 17, 'AZUL': 5, 'VALOR UNIONISTA': 29, 'CABAL': 31, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 3, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 11, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 21, 'VIVA': 30, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 19}",16,39,290,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1752,presidente
12842,,"{'UNE': 17, 'AZUL': 3, 'VALOR UNIONISTA': 32, 'CABAL': 26, 'TODOS': 2, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 29, 'VIVA': 32, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",16,47,305,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1752,presidente
12843,,"{'UNE': 15, 'AZUL': 5, 'VALOR UNIONISTA': 31, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 24, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 11, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 23, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 13}",20,59,305,0,,11.Retalhuleu,5.San Felipe,1752,presidente
12844,,"{'UNE': 16, 'AZUL': 3, 'VALOR UNIONISTA': 30, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 29, 'VIVA': 37, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 16}",19,53,310,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1752,presidente
12845,,"{'UNE': 14, 'AZUL': 5, 'VALOR UNIONISTA': 26, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 26, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 32, 'VIVA': 40, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",25,63,311,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1753,presidente
12846,,"{'UNE': 12, 'AZUL': 4, 'VALOR UNIONISTA': 30, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 8, 'CREO': 4, 'BIEN': 24, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",21,41,307,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1753,presidente
12847,,"{'UNE': 16, 'AZUL': 3, 'VALOR UNIONISTA': 31, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 40, 'FCN-NACION': 1, 'PPN': 4, 'UR': 8, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 25, 'VIVA': 34, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 10}",26,50,311,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1753,presidente
12848,,"{'UNE': 23, 'AZUL': 7, 'VALOR UNIONISTA': 32, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 27, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 30, 'FCN-NACION': 2, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 24, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 25}",23,48,312,0,,11.Retalhuleu,5.San Felipe,1753,presidente
12849,,"{'UNE': 15, 'AZUL': 4, 'VALOR UNIONISTA': 35, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 23, 'VIVA': 33, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 10}",24,40,285,1,,11.Retalhuleu,5.San Felipe,1753,presidente
12850,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 20, 'TODOS': 3, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 22, 'VIVA': 45, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 19}",8,54,295,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1753,presidente
12851,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 23, 'VIVA': 30, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 19}",8,43,273,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1753,presidente
12852,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 33, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 25, 'VIVA': 35, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 18}",9,46,279,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1753,presidente
12853,,"{'UNE': 20, 'AZUL': 7, 'VALOR UNIONISTA': 23, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 24, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 15}",11,40,262,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1753,presidente
12854,,"{'UNE': 8, 'AZUL': 4, 'VALOR UNIONISTA': 30, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 19, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 24, 'VIVA': 34, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 23}",15,38,282,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1753,presidente
12855,,"{'UNE': 20, 'AZUL': 5, 'VALOR UNIONISTA': 26, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 20, 'VIVA': 42, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 22}",15,42,301,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1754,presidente
12856,,"{'UNE': 14, 'AZUL': 5, 'VALOR UNIONISTA': 33, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 24, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 23, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 16}",8,47,280,0,Algún campo sin dato,11.Retalhuleu,5.San Felipe,1754,presidente
12857,,"{'UNE': 17, 'AZUL': 6, 'VALOR UNIONISTA': 25, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 34, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 28, 'FCN-NACION': 3, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 26, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",17,45,288,0,,11.Retalhuleu,5.San Felipe,1754,presidente
