mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12879,,"{'UNE': 84, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",13,31,242,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1759,presidente
12880,,"{'UNE': 73, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 3, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 32, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 8}",15,37,266,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1759,presidente
12881,,"{'UNE': 109, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 11, 'FCN-NACION': 2, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",17,47,289,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1759,presidente
12882,,"{'UNE': 97, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",15,56,276,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1759,presidente
12883,,"{'UNE': 56, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 7, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 38, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",12,30,229,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1760,presidente
12884,,"{'UNE': 81, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",17,31,238,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1760,presidente
12885,,"{'UNE': 76, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",8,24,216,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1760,presidente
12886,,"{'UNE': 49, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 10, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",4,31,165,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1760,presidente
12887,,"{'UNE': 99, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 9, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 0, 'VIVA': 33, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 3}",26,35,260,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1761,presidente
12888,,"{'UNE': 122, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 4, 'TODOS': 2, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 21, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",16,54,290,0,Algún campo sin dato,11.Retalhuleu,6.San Andrés Villa Seca,1761,presidente
