mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
12947,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 87, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",12,41,254,0,Algún campo sin dato,11.Retalhuleu,7.Champerico,1770,presidente
12948,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 16, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 0, 'VIVA': 69, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",9,44,257,1,Algún campo sin dato,11.Retalhuleu,7.Champerico,1770,presidente
12949,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 70, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 9}",12,54,268,0,Algún campo sin dato,11.Retalhuleu,7.Champerico,1770,presidente
12950,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 22, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 77, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 6}",14,48,280,0,Algún campo sin dato,11.Retalhuleu,7.Champerico,1770,presidente
12951,,"{'UNE': 57, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 17, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 1, 'VIVA': 74, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",11,44,272,0,Algún campo sin dato,11.Retalhuleu,7.Champerico,1770,presidente
12952,,"{'UNE': 58, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 6, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 81, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",8,44,293,0,Algún campo sin dato,11.Retalhuleu,7.Champerico,1770,presidente
12953,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 79, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",13,45,270,0,Algún campo sin dato,11.Retalhuleu,7.Champerico,1770,presidente
12954,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 76, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",11,50,253,0,Algún campo sin dato,11.Retalhuleu,7.Champerico,1770,presidente
12955,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 21, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 10, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 1, 'VIVA': 62, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",8,34,247,0,Algún campo sin dato,11.Retalhuleu,7.Champerico,1770,presidente
12956,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 3, 'VIVA': 70, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",7,35,243,0,Algún campo sin dato,11.Retalhuleu,7.Champerico,1771,presidente
