mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13070,,"{'UNE': 80, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",32,44,272,0,Algún campo sin dato,11.Retalhuleu,9.El Asintal,1784,presidente
13071,,"{'UNE': 91, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",30,50,277,0,,11.Retalhuleu,9.El Asintal,1784,presidente
13072,,"{'UNE': 81, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 5, 'VIVA': 35, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",26,48,291,0,Algún campo sin dato,11.Retalhuleu,9.El Asintal,1784,presidente
13073,,"{'UNE': 89, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 22, 'PHG': 2, 'PR': 1, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 12, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",40,38,266,0,Algún campo sin dato,11.Retalhuleu,9.El Asintal,1784,presidente
13074,,"{'UNE': 58, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 32, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 8, 'VIVA': 36, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",37,48,276,2,,11.Retalhuleu,9.El Asintal,1784,presidente
13075,,"{'UNE': 95, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 8, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",18,47,263,0,Algún campo sin dato,11.Retalhuleu,9.El Asintal,1784,presidente
13076,,"{'UNE': 79, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 7, 'TODOS': 3, 'VAMOS': 34, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 6, 'VIVA': 37, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",29,48,299,0,Algún campo sin dato,11.Retalhuleu,9.El Asintal,1784,presidente
13077,,"{'UNE': 89, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 13, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",23,48,287,0,Algún campo sin dato,11.Retalhuleu,9.El Asintal,1784,presidente
13078,,"{'UNE': 74, 'AZUL': 0, 'VALOR UNIONISTA': 21, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 20, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 15, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",23,53,277,0,Algún campo sin dato,11.Retalhuleu,9.El Asintal,1784,presidente
13079,,"{'UNE': 77, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 11, 'VIVA': 33, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",11,39,232,0,Algún campo sin dato,11.Retalhuleu,9.El Asintal,1784,presidente
