mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13131,,"{'UNE': 15, 'AZUL': 7, 'VALOR UNIONISTA': 32, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 52, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 10, 'MI FAMILIA': 5, 'CAMBIO': 2, 'VOS': 54}",2,37,264,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1790,presidente
13132,,"{'UNE': 4, 'AZUL': 7, 'VALOR UNIONISTA': 17, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 77, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 6, 'BIEN': 10, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 66}",2,26,273,2,Algún campo sin dato,12.San Marcos,1.San Marcos,1790,presidente
13133,,"{'UNE': 6, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 25, 'TODOS': 5, 'VAMOS': 5, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 68, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 9, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 61}",2,21,258,13,Algún campo sin dato,12.San Marcos,1.San Marcos,1790,presidente
13134,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 22, 'TODOS': 2, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 75, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 13, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 33}",3,26,233,1,Algún campo sin dato,12.San Marcos,1.San Marcos,1790,presidente
13135,,"{'UNE': 2, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 108, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 13, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 20}",0,17,202,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1790,presidente
13136,,"{'UNE': 22, 'AZUL': 6, 'VALOR UNIONISTA': 18, 'CABAL': 21, 'TODOS': 6, 'VAMOS': 3, 'PHG': 2, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 54, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 35}",12,61,282,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1791,presidente
13137,,"{'UNE': 24, 'AZUL': 4, 'VALOR UNIONISTA': 19, 'CABAL': 20, 'TODOS': 7, 'VAMOS': 7, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 47, 'FCN-NACION': 2, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 9, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 53}",17,36,295,0,Sumas Asentadas sin cuadrar,12.San Marcos,1.San Marcos,1791,presidente
13138,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 14, 'TODOS': 8, 'VAMOS': 5, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 60, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 37}",9,46,273,0,Sumas Asentadas sin cuadrar,12.San Marcos,1.San Marcos,1791,presidente
13139,,"{'UNE': 11, 'AZUL': 5, 'VALOR UNIONISTA': 23, 'CABAL': 13, 'TODOS': 8, 'VAMOS': 6, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 8, 'SEMILLA': 55, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 8, 'VIVA': 13, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 58}",16,45,294,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1791,presidente
13140,,"{'UNE': 16, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 3, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 68, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 10, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 39}",6,38,250,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1791,presidente
13141,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 7, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 11, 'SEMILLA': 62, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 22, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 38}",7,55,272,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1791,presidente
13142,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 4, 'VAMOS': 5, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 6, 'SEMILLA': 58, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 44}",15,53,278,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1792,presidente
13143,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 19, 'TODOS': 6, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 9, 'SEMILLA': 64, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 34}",12,36,261,0,Sumas Asentadas sin cuadrar,12.San Marcos,1.San Marcos,1792,presidente
13144,,"{'UNE': 19, 'AZUL': 4, 'VALOR UNIONISTA': 9, 'CABAL': 19, 'TODOS': 6, 'VAMOS': 2, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 33}",9,58,259,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1792,presidente
13145,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 19, 'TODOS': 9, 'VAMOS': 5, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 79, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 10, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 34}",5,27,247,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1792,presidente
13146,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 115, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 24}",3,19,231,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1792,presidente
13147,,"{'UNE': 4, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 1, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 78, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 9, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 19}",3,29,188,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1792,presidente
13148,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 21, 'TODOS': 6, 'VAMOS': 15, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 72, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 13, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 49}",8,31,296,0,Algún campo sin dato,12.San Marcos,1.San Marcos,1793,presidente
