mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13828,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 6, 'FCN-NACION': 5, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 12, 'VIVA': 26, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",15,47,197,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13829,,"{'UNE': 28, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 13, 'PHG': 1, 'PR': 6, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 9, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",17,46,187,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13830,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 3, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 12, 'SEMILLA': 5, 'FCN-NACION': 4, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 10, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",17,51,192,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13831,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 6, 'FCN-NACION': 5, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",14,39,164,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13832,,"{'UNE': 48, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 10, 'FCN-NACION': 4, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",20,55,203,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13833,,"{'UNE': 26, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 7, 'TODOS': 2, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",18,47,173,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13834,,"{'UNE': 40, 'AZUL': 9, 'VALOR UNIONISTA': 9, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 13, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 0, 'UR': 11, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 13, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",24,52,240,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13835,,"{'UNE': 29, 'AZUL': 10, 'VALOR UNIONISTA': 15, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 29, 'FCN-NACION': 3, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 14, 'VIVA': 29, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 10}",13,52,246,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13836,,"{'UNE': 31, 'AZUL': 9, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 12, 'VIVA': 20, 'MI FAMILIA': 11, 'CAMBIO': 0, 'VOS': 12}",20,62,265,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13837,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 5, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 16, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",11,45,176,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
13838,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 10, 'TODOS': 3, 'VAMOS': 6, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 7, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",11,40,158,0,Algún campo sin dato,12.San Marcos,10.Tejutla,1935,presidente
