mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13880,,"{'UNE': 43, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 24, 'TODOS': 2, 'VAMOS': 32, 'PHG': 12, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 27, 'FCN-NACION': 2, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 9}",47,45,303,0,Sumas Asentadas sin cuadrar,12.San Marcos,11.San Rafael Pie De La Cuesta,1945,presidente
13881,,"{'UNE': 64, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 26, 'PHG': 18, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 10, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",29,48,328,0,Algún campo sin dato,12.San Marcos,11.San Rafael Pie De La Cuesta,1945,presidente
13882,,"{'UNE': 54, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 40, 'PHG': 18, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",35,44,315,0,Algún campo sin dato,12.San Marcos,11.San Rafael Pie De La Cuesta,1945,presidente
13883,,"{'UNE': 56, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 36, 'PHG': 17, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",45,43,326,0,Algún campo sin dato,12.San Marcos,11.San Rafael Pie De La Cuesta,1945,presidente
13884,,"{'UNE': 53, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 48, 'PHG': 24, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",35,53,319,0,Algún campo sin dato,12.San Marcos,11.San Rafael Pie De La Cuesta,1946,presidente
13885,,"{'UNE': 54, 'AZUL': 4, 'VALOR UNIONISTA': 25, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 42, 'PHG': 28, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 8, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 21}",38,45,340,0,Algún campo sin dato,12.San Marcos,11.San Rafael Pie De La Cuesta,1946,presidente
13886,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 44, 'PHG': 13, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 19}",44,59,327,0,Sumas Asentadas sin cuadrar,12.San Marcos,11.San Rafael Pie De La Cuesta,1946,presidente
13887,,"{'UNE': 39, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 35, 'PHG': 8, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 48, 'FCN-NACION': 2, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 6, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 20}",7,43,295,0,Algún campo sin dato,12.San Marcos,11.San Rafael Pie De La Cuesta,1946,presidente
13888,,"{'UNE': 56, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 36, 'PHG': 8, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",21,43,293,0,Algún campo sin dato,12.San Marcos,11.San Rafael Pie De La Cuesta,1946,presidente
13889,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 22, 'PHG': 15, 'PR': 0, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 44, 'FCN-NACION': 2, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 7, 'BIEN': 5, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 26}",21,49,308,0,Algún campo sin dato,12.San Marcos,11.San Rafael Pie De La Cuesta,1946,presidente
