mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13915,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 19, 'TODOS': 5, 'VAMOS': 8, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 2, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",39,57,242,0,Sumas Asentadas sin cuadrar,12.San Marcos,12.Nuevo Progreso,1954,presidente
13916,,"{'UNE': 55, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 11, 'TODOS': 4, 'VAMOS': 20, 'PHG': 8, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",36,68,255,0,Algún campo sin dato,12.San Marcos,12.Nuevo Progreso,1954,presidente
13917,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 19, 'TODOS': 8, 'VAMOS': 16, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",37,64,262,0,Algún campo sin dato,12.San Marcos,12.Nuevo Progreso,1954,presidente
13918,,"{'UNE': 70, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 23, 'TODOS': 7, 'VAMOS': 8, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 13, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",48,64,279,0,Algún campo sin dato,12.San Marcos,12.Nuevo Progreso,1954,presidente
13919,,"{'UNE': 85, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 18, 'TODOS': 5, 'VAMOS': 9, 'PHG': 7, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",42,45,261,0,Algún campo sin dato,12.San Marcos,12.Nuevo Progreso,1954,presidente
13920,,"{'UNE': 97, 'AZUL': 7, 'VALOR UNIONISTA': 7, 'CABAL': 14, 'TODOS': 6, 'VAMOS': 15, 'PHG': 6, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 14, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",25,64,283,0,Algún campo sin dato,12.San Marcos,12.Nuevo Progreso,1954,presidente
13921,,"{'UNE': 64, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 10, 'PHG': 5, 'PR': 3, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 13, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 21, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 8}",26,67,286,0,Sumas Asentadas sin cuadrar,12.San Marcos,12.Nuevo Progreso,1954,presidente
13922,,"{'UNE': 60, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 6, 'TODOS': 3, 'VAMOS': 9, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",18,54,200,0,Algún campo sin dato,12.San Marcos,12.Nuevo Progreso,1954,presidente
13923,,"{'UNE': 59, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 4, 'PHG': 6, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",27,40,210,1,Algún campo sin dato,12.San Marcos,12.Nuevo Progreso,1954,presidente
13924,,"{'UNE': 47, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 13, 'TODOS': 7, 'VAMOS': 9, 'PHG': 4, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",12,53,203,0,Algún campo sin dato,12.San Marcos,12.Nuevo Progreso,1954,presidente
