mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14033,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 16, 'PHG': 7, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 6, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",23,45,210,0,Sumas Asentadas sin cuadrar,12.San Marcos,14.El Rodeo,1972,presidente
14034,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 11, 'PHG': 7, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",39,48,252,0,,12.San Marcos,14.El Rodeo,1972,presidente
14035,,"{'UNE': 76, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 20, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 33, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",33,30,269,0,Algún campo sin dato,12.San Marcos,14.El Rodeo,1972,presidente
14036,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 38, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 18, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 9, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 16}",31,73,307,0,Algún campo sin dato,12.San Marcos,14.El Rodeo,1972,presidente
14037,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 12, 'TODOS': 3, 'VAMOS': 10, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 6, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",12,30,186,6,Algún campo sin dato,12.San Marcos,14.El Rodeo,1972,presidente
14038,,"{'UNE': 38, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 16, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 11, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",15,37,196,0,Algún campo sin dato,12.San Marcos,14.El Rodeo,1972,presidente
14039,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 6, 'PHG': 3, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 40, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",12,30,206,0,Algún campo sin dato,12.San Marcos,14.El Rodeo,1972,presidente
14040,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 7, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",8,30,156,0,Algún campo sin dato,12.San Marcos,14.El Rodeo,1972,presidente
14041,,"{'UNE': 21, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",11,9,104,1,Algún campo sin dato,12.San Marcos,14.El Rodeo,1972,presidente
14042,,"{'UNE': 49, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 21, 'PHG': 3, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",34,48,241,0,Algún campo sin dato,12.San Marcos,14.El Rodeo,1973,presidente
