mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14070,,"{'UNE': 51, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 16, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 22, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 10}",14,53,243,0,Algún campo sin dato,12.San Marcos,15.Malacatán,1981,presidente
14071,,"{'UNE': 42, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 6, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 6, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 14, 'BIEN': 5, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 14}",17,50,241,0,Algún campo sin dato,12.San Marcos,15.Malacatán,1981,presidente
14072,,"{'UNE': 44, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 7, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 18, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 24, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 12}",20,50,266,0,Algún campo sin dato,12.San Marcos,15.Malacatán,1981,presidente
14073,,"{'UNE': 51, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 7, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 24, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 12}",16,60,284,0,Algún campo sin dato,12.San Marcos,15.Malacatán,1981,presidente
14074,,"{'UNE': 57, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 6, 'PHG': 6, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 8, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 26, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",16,56,263,0,Algún campo sin dato,12.San Marcos,15.Malacatán,1981,presidente
14075,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 17, 'FCN-NACION': 4, 'PPN': 8, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 17, 'BIEN': 5, 'VIVA': 14, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 9}",10,41,243,5,Algún campo sin dato,12.San Marcos,15.Malacatán,1981,presidente
14076,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 12, 'PHG': 6, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 11, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 14, 'BIEN': 4, 'VIVA': 24, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 16}",12,52,269,1,Algún campo sin dato,12.San Marcos,15.Malacatán,1981,presidente
14077,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 4, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 9, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 10, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 12}",4,46,211,0,Algún campo sin dato,12.San Marcos,15.Malacatán,1981,presidente
14078,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 3, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 31, 'FCN-NACION': 4, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 11, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 15}",10,35,208,1,Sumas Asentadas sin cuadrar,12.San Marcos,15.Malacatán,1981,presidente
14079,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 6, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 6, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 19, 'BIEN': 5, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 9}",14,44,251,0,Sumas Asentadas sin cuadrar,12.San Marcos,15.Malacatán,1981,presidente
