mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14282,,"{'UNE': 91, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",22,53,205,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2002,presidente
14283,,"{'UNE': 75, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 6, 'FCN-NACION': 4, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",20,51,218,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2002,presidente
14284,,"{'UNE': 54, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 2, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 12, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 9, 'VIVA': 18, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",20,62,231,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2002,presidente
14285,,"{'UNE': 59, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 2, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 9, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",15,64,221,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2002,presidente
14286,,"{'UNE': 57, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 5, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 14, 'FCN-NACION': 3, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 9, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",16,50,230,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2002,presidente
14287,,"{'UNE': 69, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 3, 'PHG': 2, 'PR': 1, 'PIN': 3, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 7, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",8,61,244,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2002,presidente
14288,,"{'UNE': 73, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 14}",6,71,254,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2002,presidente
14289,,"{'UNE': 61, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 3, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 17, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 8, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",9,72,256,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2003,presidente
14290,,"{'UNE': 62, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 2, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",8,61,208,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2003,presidente
14291,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 5, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",15,50,186,0,Algún campo sin dato,12.San Marcos,17.Ayutla,2003,presidente
