mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14339,,"{'UNE': 72, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 43, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",22,45,223,0,Algún campo sin dato,12.San Marcos,18.Ocós,2011,presidente
14340,,"{'UNE': 70, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 8, 'TODOS': 3, 'VAMOS': 41, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",22,47,232,0,Algún campo sin dato,12.San Marcos,18.Ocós,2011,presidente
14341,,"{'UNE': 77, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 4, 'TODOS': 2, 'VAMOS': 58, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 22, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",29,0,222,52,,12.San Marcos,18.Ocós,2011,presidente
14342,,"{'UNE': 81, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 45, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 8, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",33,67,283,0,,12.San Marcos,18.Ocós,2011,presidente
14343,,"{'UNE': 73, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 38, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",19,50,228,0,Algún campo sin dato,12.San Marcos,18.Ocós,2011,presidente
14344,,"{'UNE': 54, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",25,44,179,0,,12.San Marcos,18.Ocós,2011,presidente
14345,,"{'UNE': 62, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",24,47,192,0,Algún campo sin dato,12.San Marcos,18.Ocós,2011,presidente
14346,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 31, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",20,32,167,0,Algún campo sin dato,12.San Marcos,18.Ocós,2011,presidente
14347,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",25,42,216,0,Algún campo sin dato,12.San Marcos,18.Ocós,2011,presidente
14348,,"{'UNE': 57, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 27, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",16,49,192,0,,12.San Marcos,18.Ocós,2012,presidente
