mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14365,,"{'UNE': 44, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 5, 'TODOS': 20, 'VAMOS': 14, 'PHG': 2, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 20, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",43,54,250,0,Algún campo sin dato,12.San Marcos,19.San Pablo,2015,presidente
14366,,"{'UNE': 65, 'AZUL': 5, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 28, 'VAMOS': 23, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 7, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",36,51,278,0,Algún campo sin dato,12.San Marcos,19.San Pablo,2015,presidente
14367,,"{'UNE': 46, 'AZUL': 6, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 19, 'VAMOS': 12, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 12, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",37,58,259,0,Algún campo sin dato,12.San Marcos,19.San Pablo,2015,presidente
14368,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 12, 'TODOS': 21, 'VAMOS': 21, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 7, 'UR': 14, 'URNG-MAIZ WINAQ': 5, 'CREO': 10, 'BIEN': 13, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",32,40,252,1,Sumas Asentadas sin cuadrar,12.San Marcos,19.San Pablo,2015,presidente
14369,,"{'UNE': 46, 'AZUL': 4, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 20, 'VAMOS': 37, 'PHG': 3, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 4, 'CREO': 9, 'BIEN': 4, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",44,42,275,0,Algún campo sin dato,12.San Marcos,19.San Pablo,2015,presidente
14370,,"{'UNE': 67, 'AZUL': 10, 'VALOR UNIONISTA': 5, 'CABAL': 6, 'TODOS': 20, 'VAMOS': 30, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 5, 'BIEN': 9, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",35,51,275,0,Algún campo sin dato,12.San Marcos,19.San Pablo,2015,presidente
14371,,"{'UNE': 67, 'AZUL': 9, 'VALOR UNIONISTA': 11, 'CABAL': 6, 'TODOS': 12, 'VAMOS': 21, 'PHG': 2, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 11, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",36,54,268,0,Sumas Asentadas sin cuadrar,12.San Marcos,19.San Pablo,2015,presidente
14372,,"{'UNE': 76, 'AZUL': 5, 'VALOR UNIONISTA': 5, 'CABAL': 7, 'TODOS': 6, 'VAMOS': 19, 'PHG': 2, 'PR': 2, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 8, 'BIEN': 8, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",27,52,264,0,Sumas Asentadas sin cuadrar,12.San Marcos,19.San Pablo,2015,presidente
14373,,"{'UNE': 82, 'AZUL': 5, 'VALOR UNIONISTA': 3, 'CABAL': 4, 'TODOS': 15, 'VAMOS': 23, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 8, 'BIEN': 6, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",17,40,251,0,Algún campo sin dato,12.San Marcos,19.San Pablo,2016,presidente
14374,,"{'UNE': 50, 'AZUL': 4, 'VALOR UNIONISTA': 5, 'CABAL': 12, 'TODOS': 23, 'VAMOS': 16, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 8, 'CREO': 9, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",33,49,254,0,Algún campo sin dato,12.San Marcos,19.San Pablo,2016,presidente
