mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14437,,"{'UNE': 63, 'AZUL': 4, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 8, 'VAMOS': 15, 'PHG': 7, 'PR': 5, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 5, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 6, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",37,30,255,0,Algún campo sin dato,12.San Marcos,20.El Quetzal,2025,presidente
14438,,"{'UNE': 54, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 6, 'TODOS': 6, 'VAMOS': 14, 'PHG': 6, 'PR': 3, 'PIN': 0, 'ELEFANTE': 13, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 8, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 6, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",35,28,244,0,Algún campo sin dato,12.San Marcos,20.El Quetzal,2025,presidente
14439,,"{'UNE': 51, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 6, 'TODOS': 7, 'VAMOS': 12, 'PHG': 5, 'PR': 1, 'PIN': 1, 'ELEFANTE': 10, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 7, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 37, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",41,24,235,0,Algún campo sin dato,12.San Marcos,20.El Quetzal,2025,presidente
14440,,"{'UNE': 80, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 4, 'VAMOS': 13, 'PHG': 3, 'PR': 2, 'PIN': 1, 'ELEFANTE': 16, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 5, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",42,33,278,0,Sumas Asentadas sin cuadrar,12.San Marcos,20.El Quetzal,2025,presidente
14441,,"{'UNE': 46, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 7, 'TODOS': 7, 'VAMOS': 7, 'PHG': 4, 'PR': 2, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 5, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 41, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",33,23,212,0,Algún campo sin dato,12.San Marcos,20.El Quetzal,2025,presidente
14442,,"{'UNE': 57, 'AZUL': 6, 'VALOR UNIONISTA': 1, 'CABAL': 2, 'TODOS': 11, 'VAMOS': 12, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 12, 'VICTORIA': 7, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 37, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 3}",23,34,228,0,Algún campo sin dato,12.San Marcos,20.El Quetzal,2025,presidente
14443,,"{'UNE': 64, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 3, 'TODOS': 4, 'VAMOS': 10, 'PHG': 10, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 2, 'VIVA': 37, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",22,31,227,0,Algún campo sin dato,12.San Marcos,20.El Quetzal,2025,presidente
14444,,"{'UNE': 51, 'AZUL': 4, 'VALOR UNIONISTA': 4, 'CABAL': 7, 'TODOS': 4, 'VAMOS': 11, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",25,25,216,0,Algún campo sin dato,12.San Marcos,20.El Quetzal,2026,presidente
14445,,"{'UNE': 38, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 4, 'TODOS': 7, 'VAMOS': 9, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 4, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",8,25,193,0,Algún campo sin dato,12.San Marcos,20.El Quetzal,2026,presidente
14446,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 8, 'VAMOS': 6, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 44, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",6,18,142,0,Algún campo sin dato,12.San Marcos,20.El Quetzal,2026,presidente
