mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14477,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 32, 'PHG': 14, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 11, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 10, 'BIEN': 1, 'VIVA': 42, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",40,50,274,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2032,presidente
14478,,"{'UNE': 51, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 17, 'PHG': 27, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 18, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 15, 'BIEN': 1, 'VIVA': 44, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",31,39,279,0,Sumas Asentadas sin cuadrar,12.San Marcos,21.La Reforma,2032,presidente
14479,,"{'UNE': 62, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 38, 'PHG': 29, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 19, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 9, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",58,28,296,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2032,presidente
14480,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 26, 'PHG': 23, 'PR': 4, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 23, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 13, 'BIEN': 2, 'VIVA': 38, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 10}",59,43,309,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2032,presidente
14481,,"{'UNE': 35, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 31, 'PHG': 19, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 17, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 23, 'BIEN': 5, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",41,41,286,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2032,presidente
14482,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 24, 'PHG': 17, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 12, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 12, 'BIEN': 2, 'VIVA': 41, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",25,38,239,1,,12.San Marcos,21.La Reforma,2033,presidente
14483,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 25, 'PHG': 33, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 15, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 1, 'VIVA': 36, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",28,26,238,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2033,presidente
14484,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 24, 'PHG': 21, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 9, 'BIEN': 3, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",37,41,256,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2033,presidente
14485,,"{'UNE': 21, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 33, 'PHG': 28, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 9, 'BIEN': 1, 'VIVA': 52, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",25,43,250,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2033,presidente
14486,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 32, 'PHG': 15, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 10, 'BIEN': 1, 'VIVA': 48, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",32,45,267,0,Sumas Asentadas sin cuadrar,12.San Marcos,21.La Reforma,2033,presidente
14487,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 31, 'PHG': 17, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 10, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 12, 'BIEN': 2, 'VIVA': 55, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",28,25,251,0,,12.San Marcos,21.La Reforma,2034,presidente
14488,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 29, 'PHG': 23, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 16, 'FCN-NACION': 2, 'PPN': 7, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 7, 'BIEN': 0, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",28,23,221,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2034,presidente
14489,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 22, 'PHG': 16, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 10, 'BIEN': 5, 'VIVA': 32, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",26,28,212,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2034,presidente
14490,,"{'UNE': 56, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 17, 'PHG': 13, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",61,34,236,2,,12.San Marcos,21.La Reforma,2035,presidente
14491,,"{'UNE': 77, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 21, 'PHG': 7, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 7, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 6, 'BIEN': 0, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",46,41,248,0,,12.San Marcos,21.La Reforma,2035,presidente
14492,,"{'UNE': 101, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 20, 'PHG': 8, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 11, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",60,42,272,0,Sumas Asentadas sin cuadrar,12.San Marcos,21.La Reforma,2035,presidente
14493,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 17, 'PHG': 9, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 5, 'BIEN': 1, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",36,30,204,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2036,presidente
14494,,"{'UNE': 58, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 20, 'PHG': 14, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 6, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",41,24,204,0,Algún campo sin dato,12.San Marcos,21.La Reforma,2036,presidente
