mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14515,,"{'UNE': 61, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 15, 'TODOS': 4, 'VAMOS': 23, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 10, 'BIEN': 7, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",17,48,258,0,Algún campo sin dato,12.San Marcos,22.Pajapita,2042,presidente
14516,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 12, 'TODOS': 3, 'VAMOS': 25, 'PHG': 9, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 9, 'FCN-NACION': 3, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 10, 'BIEN': 10, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",12,62,267,0,Algún campo sin dato,12.San Marcos,22.Pajapita,2042,presidente
14517,,"{'UNE': 45, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 23, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 10, 'BIEN': 3, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",23,55,254,0,Algún campo sin dato,12.San Marcos,22.Pajapita,2042,presidente
14518,,"{'UNE': 53, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 18, 'TODOS': 5, 'VAMOS': 22, 'PHG': 9, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 14, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 11, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",17,49,267,0,Algún campo sin dato,12.San Marcos,22.Pajapita,2042,presidente
14519,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 28, 'PHG': 9, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 6, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",26,57,249,0,Algún campo sin dato,12.San Marcos,22.Pajapita,2042,presidente
14520,,"{'UNE': 62, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 7, 'TODOS': 2, 'VAMOS': 34, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 5, 'FCN-NACION': 2, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 8, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",23,65,270,0,Algún campo sin dato,12.San Marcos,22.Pajapita,2042,presidente
14521,,"{'UNE': 44, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 24, 'PHG': 9, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 7, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",16,59,272,0,Sumas Asentadas sin cuadrar,12.San Marcos,22.Pajapita,2042,presidente
14522,,"{'UNE': 76, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 41, 'PHG': 12, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 8, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 8, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",27,63,309,0,Algún campo sin dato,12.San Marcos,22.Pajapita,2042,presidente
14523,,"{'UNE': 54, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 14, 'TODOS': 7, 'VAMOS': 17, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",18,71,278,0,Algún campo sin dato,12.San Marcos,22.Pajapita,2042,presidente
14524,,"{'UNE': 42, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 26, 'PHG': 8, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",8,42,215,0,Algún campo sin dato,12.San Marcos,22.Pajapita,2042,presidente
