mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14559,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 39, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 8, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 3}",30,50,200,0,Algún campo sin dato,12.San Marcos,23.Ixchiguán,2047,presidente
14560,,"{'UNE': 10, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 49, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 8, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 4}",34,67,242,0,Algún campo sin dato,12.San Marcos,23.Ixchiguán,2047,presidente
14561,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,,12.San Marcos,23.Ixchiguán,2047,presidente
14562,,"{'UNE': 10, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 31, 'TODOS': 1, 'VAMOS': 13, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 2, 'UR': 15, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",59,58,261,0,Algún campo sin dato,12.San Marcos,23.Ixchiguán,2047,presidente
14563,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 0, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 19}",27,56,238,0,Algún campo sin dato,12.San Marcos,23.Ixchiguán,2047,presidente
14564,,"{'UNE': 6, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 17, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",18,43,160,0,Algún campo sin dato,12.San Marcos,23.Ixchiguán,2047,presidente
14565,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 10, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 10, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 0, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",25,39,181,0,Algún campo sin dato,12.San Marcos,23.Ixchiguán,2047,presidente
14566,,"{'UNE': 4, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 11}",10,21,106,0,Algún campo sin dato,12.San Marcos,23.Ixchiguán,2047,presidente
14567,,"{'UNE': 4, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 9, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",5,22,94,0,,12.San Marcos,23.Ixchiguán,2047,presidente
14568,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 23, 'PHG': 4, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",46,58,217,0,Algún campo sin dato,12.San Marcos,23.Ixchiguán,2048,presidente
