mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14590,,"{'UNE': 20, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 5, 'TODOS': 45, 'VAMOS': 14, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 14, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",53,62,262,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2056,presidente
14591,,"{'UNE': 30, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 6, 'TODOS': 51, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 12, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",51,66,264,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2056,presidente
14592,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 5, 'TODOS': 67, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 11, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",46,66,288,1,,12.San Marcos,24.San José Ojetenam,2056,presidente
14593,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 5, 'TODOS': 40, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",34,53,218,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2057,presidente
14594,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 7, 'TODOS': 51, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",38,64,237,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2057,presidente
14595,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 9, 'TODOS': 43, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 8, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 6}",36,63,250,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2057,presidente
14596,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 4, 'TODOS': 39, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",24,54,224,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2058,presidente
14597,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 24, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 10, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",13,48,170,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2058,presidente
14598,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 4, 'TODOS': 44, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",26,36,155,0,Sumas Asentadas sin cuadrar,12.San Marcos,24.San José Ojetenam,2058,presidente
14599,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 25, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",42,46,196,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2059,presidente
14600,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 15, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",16,17,87,0,,12.San Marcos,24.San José Ojetenam,2059,presidente
14601,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 2, 'TODOS': 22, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",16,15,80,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2059,presidente
14602,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 2, 'TODOS': 9, 'VAMOS': 77, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 11, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",51,36,230,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2060,presidente
14603,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 5, 'TODOS': 16, 'VAMOS': 93, 'PHG': 8, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 13, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",40,28,261,0,,12.San Marcos,24.San José Ojetenam,2060,presidente
14604,,"{'UNE': 18, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 5, 'TODOS': 4, 'VAMOS': 85, 'PHG': 3, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 11, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",54,51,254,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2060,presidente
14605,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 0, 'TODOS': 8, 'VAMOS': 70, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 12, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",42,35,213,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2061,presidente
14606,,"{'UNE': 8, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 6, 'VAMOS': 60, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",42,36,181,0,Algún campo sin dato,12.San Marcos,24.San José Ojetenam,2061,presidente
