mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14626,,"{'UNE': 11, 'AZUL': 19, 'VALOR UNIONISTA': 1, 'CABAL': 37, 'TODOS': 25, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 17, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",40,47,258,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2069,presidente
14627,,"{'UNE': 15, 'AZUL': 25, 'VALOR UNIONISTA': 1, 'CABAL': 43, 'TODOS': 31, 'VAMOS': 8, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 21, 'VICTORIA': 5, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",57,34,296,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2069,presidente
14628,,"{'UNE': 13, 'AZUL': 26, 'VALOR UNIONISTA': 5, 'CABAL': 29, 'TODOS': 60, 'VAMOS': 12, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 14, 'VICTORIA': 8, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",60,40,301,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2069,presidente
14629,,"{'UNE': 15, 'AZUL': 31, 'VALOR UNIONISTA': 4, 'CABAL': 21, 'TODOS': 71, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 20, 'VICTORIA': 5, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",66,41,312,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2070,presidente
14630,,"{'UNE': 7, 'AZUL': 16, 'VALOR UNIONISTA': 1, 'CABAL': 24, 'TODOS': 54, 'VAMOS': 8, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 15, 'VICTORIA': 10, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",34,33,228,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2070,presidente
14631,,"{'UNE': 11, 'AZUL': 14, 'VALOR UNIONISTA': 0, 'CABAL': 24, 'TODOS': 33, 'VAMOS': 11, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 16, 'VICTORIA': 7, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",31,39,232,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2070,presidente
14632,,"{'UNE': 6, 'AZUL': 19, 'VALOR UNIONISTA': 4, 'CABAL': 24, 'TODOS': 37, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 5, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",28,51,241,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2071,presidente
14633,,"{'UNE': 6, 'AZUL': 17, 'VALOR UNIONISTA': 2, 'CABAL': 26, 'TODOS': 24, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 3, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",17,32,190,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2071,presidente
14634,,"{'UNE': 8, 'AZUL': 18, 'VALOR UNIONISTA': 3, 'CABAL': 20, 'TODOS': 43, 'VAMOS': 8, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",18,24,186,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2072,presidente
14635,,"{'UNE': 8, 'AZUL': 15, 'VALOR UNIONISTA': 4, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 25, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 18, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 5, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",48,36,209,0,Algún campo sin dato,12.San Marcos,25.San Cristóbal Cucho,2073,presidente
