mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14659,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 31, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 17, 'BIEN': 1, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",37,66,262,0,Algún campo sin dato,12.San Marcos,26.Sipacapa,2083,presidente
14660,,"{'UNE': 46, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 27, 'PHG': 7, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 1, 'FCN-NACION': 3, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 53, 'BIEN': 1, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",45,60,297,0,Algún campo sin dato,12.San Marcos,26.Sipacapa,2083,presidente
14661,,"{'UNE': 52, 'AZUL': 6, 'VALOR UNIONISTA': 4, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 17, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 14, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 27, 'BIEN': 1, 'VIVA': 30, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",48,50,275,0,Algún campo sin dato,12.San Marcos,26.Sipacapa,2083,presidente
14662,,"{'UNE': 61, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 31, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 0, 'FCN-NACION': 2, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 15, 'BIEN': 0, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",71,55,301,0,Algún campo sin dato,12.San Marcos,26.Sipacapa,2083,presidente
14663,,"{'UNE': 45, 'AZUL': 3, 'VALOR UNIONISTA': 2, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 36, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 1, 'FCN-NACION': 2, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 18, 'BIEN': 0, 'VIVA': 30, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",29,76,272,0,Algún campo sin dato,12.San Marcos,26.Sipacapa,2083,presidente
14664,,"{'UNE': 48, 'AZUL': 4, 'VALOR UNIONISTA': 5, 'CABAL': 4, 'TODOS': 2, 'VAMOS': 55, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 19, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",46,81,310,2,Algún campo sin dato,12.San Marcos,26.Sipacapa,2083,presidente
14665,,"{'UNE': 54, 'AZUL': 4, 'VALOR UNIONISTA': 2, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 52, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 10, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",48,64,283,8,Algún campo sin dato,12.San Marcos,26.Sipacapa,2083,presidente
14666,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 22, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 10, 'BIEN': 1, 'VIVA': 45, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",18,60,226,0,,12.San Marcos,26.Sipacapa,2083,presidente
14667,,"{'UNE': 38, 'AZUL': 3, 'VALOR UNIONISTA': 0, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 17, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",35,60,252,0,Algún campo sin dato,12.San Marcos,26.Sipacapa,2083,presidente
14668,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 12, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",27,51,192,0,Algún campo sin dato,12.San Marcos,26.Sipacapa,2084,presidente
