mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14716,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 61, 'PHG': 13, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 8, 'VOS': 0}",40,68,328,0,Algún campo sin dato,12.San Marcos,28.Río Blanco,2099,presidente
14717,,"{'UNE': 51, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 72, 'PHG': 9, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 28, 'FCN-NACION': 4, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 10}",36,62,327,0,Sumas Asentadas sin cuadrar,12.San Marcos,28.Río Blanco,2099,presidente
14718,,"{'UNE': 45, 'AZUL': 6, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 62, 'PHG': 12, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 26, 'FCN-NACION': 3, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",39,57,316,0,Algún campo sin dato,12.San Marcos,28.Río Blanco,2100,presidente
14719,,"{'UNE': 90, 'AZUL': 4, 'VALOR UNIONISTA': 2, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 63, 'PHG': 22, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",39,49,330,0,Sumas Asentadas sin cuadrar,12.San Marcos,28.Río Blanco,2101,presidente
14720,,"{'UNE': 68, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 62, 'PHG': 15, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",32,60,305,0,,12.San Marcos,28.Río Blanco,2101,presidente
14721,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 35, 'PHG': 5, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 14}",22,41,245,0,Algún campo sin dato,12.San Marcos,28.Río Blanco,2101,presidente
14722,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 51, 'PHG': 10, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 52, 'FCN-NACION': 4, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",24,57,288,0,Algún campo sin dato,12.San Marcos,28.Río Blanco,2102,presidente
14723,,"{'UNE': 64, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 50, 'PHG': 10, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 34, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",18,51,270,0,Algún campo sin dato,12.San Marcos,28.Río Blanco,2102,presidente
14724,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 40, 'PHG': 9, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 3, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",10,55,229,0,Algún campo sin dato,12.San Marcos,28.Río Blanco,2102,presidente
14725,,"{'UNE': 2, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 9, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",6,6,40,0,Algún campo sin dato,12.San Marcos,28.Río Blanco,2103,presidente
