mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14726,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 35, 'PHG': 2, 'PR': 5, 'PIN': 0, 'ELEFANTE': 23, 'VICTORIA': 12, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",61,37,308,0,Algún campo sin dato,12.San Marcos,29.San Lorenzo,2104,presidente
14727,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 36, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 26, 'VICTORIA': 8, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 9, 'BIEN': 3, 'VIVA': 24, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",82,33,311,4,Algún campo sin dato,12.San Marcos,29.San Lorenzo,2104,presidente
14728,,"{'UNE': 40, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 46, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 28, 'VICTORIA': 13, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 5, 'BIEN': 0, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",8,38,252,0,Sumas Asentadas sin cuadrar,12.San Marcos,29.San Lorenzo,2104,presidente
14729,,"{'UNE': 40, 'AZUL': 6, 'VALOR UNIONISTA': 5, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 25, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 22, 'VICTORIA': 11, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 35, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 5}",89,48,337,0,Algún campo sin dato,12.San Marcos,29.San Lorenzo,2104,presidente
14730,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 42, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 25, 'VICTORIA': 13, 'SEMILLA': 4, 'FCN-NACION': 3, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 9}",59,47,339,0,Algún campo sin dato,12.San Marcos,29.San Lorenzo,2104,presidente
14731,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 54, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 20, 'VICTORIA': 14, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",99,45,350,0,Algún campo sin dato,12.San Marcos,29.San Lorenzo,2104,presidente
14732,,"{'UNE': 29, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 40, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 23, 'VICTORIA': 20, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",49,39,296,0,Algún campo sin dato,12.San Marcos,29.San Lorenzo,2104,presidente
14733,,"{'UNE': 43, 'AZUL': 4, 'VALOR UNIONISTA': 2, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 28, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 19, 'VICTORIA': 15, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",31,29,250,0,Algún campo sin dato,12.San Marcos,29.San Lorenzo,2104,presidente
14734,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 25, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 22, 'VICTORIA': 17, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 9}",38,36,266,0,Algún campo sin dato,12.San Marcos,29.San Lorenzo,2105,presidente
14735,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 43, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 19, 'VICTORIA': 17, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",27,40,265,0,Algún campo sin dato,12.San Marcos,29.San Lorenzo,2105,presidente
