mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13333,,"{'UNE': 9, 'AZUL': 8, 'VALOR UNIONISTA': 16, 'CABAL': 32, 'TODOS': 2, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 44, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",30,48,254,0,Algún campo sin dato,12.San Marcos,3.San Antonio Sacatepéquez,1820,presidente
13334,,"{'UNE': 17, 'AZUL': 12, 'VALOR UNIONISTA': 5, 'CABAL': 47, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 51, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",23,55,284,0,Algún campo sin dato,12.San Marcos,3.San Antonio Sacatepéquez,1820,presidente
13335,,"{'UNE': 15, 'AZUL': 10, 'VALOR UNIONISTA': 9, 'CABAL': 43, 'TODOS': 2, 'VAMOS': 14, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 18}",39,50,285,0,Algún campo sin dato,12.San Marcos,3.San Antonio Sacatepéquez,1820,presidente
13336,,"{'UNE': 9, 'AZUL': 7, 'VALOR UNIONISTA': 12, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 10, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 36, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 18}",18,48,245,0,,12.San Marcos,3.San Antonio Sacatepéquez,1821,presidente
13337,,"{'UNE': 15, 'AZUL': 14, 'VALOR UNIONISTA': 6, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 19}",22,46,227,0,Algún campo sin dato,12.San Marcos,3.San Antonio Sacatepéquez,1821,presidente
13338,,"{'UNE': 8, 'AZUL': 6, 'VALOR UNIONISTA': 2, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 48, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 18}",8,41,232,0,Algún campo sin dato,12.San Marcos,3.San Antonio Sacatepéquez,1821,presidente
13339,,"{'UNE': 9, 'AZUL': 11, 'VALOR UNIONISTA': 5, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 44, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",8,27,189,10,Algún campo sin dato,12.San Marcos,3.San Antonio Sacatepéquez,1821,presidente
13340,,"{'UNE': 11, 'AZUL': 9, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 3, 'VAMOS': 25, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 9, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",50,40,224,155,Algún campo sin dato,12.San Marcos,3.San Antonio Sacatepéquez,1822,presidente
13341,,"{'UNE': 10, 'AZUL': 17, 'VALOR UNIONISTA': 5, 'CABAL': 18, 'TODOS': 4, 'VAMOS': 14, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 4, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",57,52,230,0,Algún campo sin dato,12.San Marcos,3.San Antonio Sacatepéquez,1822,presidente
13342,,"{'UNE': 11, 'AZUL': 17, 'VALOR UNIONISTA': 5, 'CABAL': 18, 'TODOS': 7, 'VAMOS': 20, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 0, 'VIVA': 40, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",43,47,235,0,Algún campo sin dato,12.San Marcos,3.San Antonio Sacatepéquez,1822,presidente
