mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14747,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 2, 'PHG': 9, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 29, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 10, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",29,65,246,0,Algún campo sin dato,12.San Marcos,30.La Blanca,2109,presidente
14748,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 2, 'PHG': 12, 'PR': 1, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 21, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 13, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",32,77,259,0,Algún campo sin dato,12.San Marcos,30.La Blanca,2109,presidente
14749,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 0, 'PHG': 8, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 21, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",28,74,228,0,Algún campo sin dato,12.San Marcos,30.La Blanca,2109,presidente
14750,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 3, 'PHG': 13, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 19, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",36,64,247,153,Algún campo sin dato,12.San Marcos,30.La Blanca,2109,presidente
14751,,"{'UNE': 30, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 1, 'PHG': 10, 'PR': 2, 'PIN': 1, 'ELEFANTE': 15, 'VICTORIA': 3, 'SEMILLA': 0, 'FCN-NACION': 23, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 10, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",41,55,233,0,Sumas Asentadas sin cuadrar,12.San Marcos,30.La Blanca,2109,presidente
14752,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 10, 'TODOS': 2, 'VAMOS': 2, 'PHG': 9, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 37, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",20,58,228,0,,12.San Marcos,30.La Blanca,2109,presidente
14753,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 1, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 19, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",9,36,142,0,Algún campo sin dato,12.San Marcos,30.La Blanca,2109,presidente
14754,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 0, 'PHG': 11, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 16, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",18,10,101,0,Sumas Asentadas sin cuadrar,12.San Marcos,30.La Blanca,2109,presidente
14755,,"{'UNE': 45, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 4, 'PHG': 29, 'PR': 0, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 32, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 11, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",47,59,279,0,,12.San Marcos,30.La Blanca,2110,presidente
14756,,"{'UNE': 45, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 7, 'PHG': 18, 'PR': 1, 'PIN': 3, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 36, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 6, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",43,63,283,0,Algún campo sin dato,12.San Marcos,30.La Blanca,2110,presidente
