mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13362,,"{'UNE': 56, 'AZUL': 9, 'VALOR UNIONISTA': 2, 'CABAL': 28, 'TODOS': 2, 'VAMOS': 16, 'PHG': 24, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 29, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 37, 'CREO': 1, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",13,21,263,0,Algún campo sin dato,12.San Marcos,4.Comitancillo,1830,presidente
13363,,"{'UNE': 79, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 37, 'TODOS': 1, 'VAMOS': 19, 'PHG': 23, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 21, 'CREO': 2, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 14}",15,26,281,0,Algún campo sin dato,12.San Marcos,4.Comitancillo,1830,presidente
13364,,"{'UNE': 74, 'AZUL': 4, 'VALOR UNIONISTA': 5, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 18, 'PHG': 24, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 19, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 31, 'CREO': 3, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",18,31,286,0,Algún campo sin dato,12.San Marcos,4.Comitancillo,1830,presidente
13365,,"{'UNE': 51, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 34, 'TODOS': 1, 'VAMOS': 12, 'PHG': 20, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 26, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 28, 'CREO': 2, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 14}",18,32,271,0,Algún campo sin dato,12.San Marcos,4.Comitancillo,1830,presidente
13366,,"{'UNE': 78, 'AZUL': 4, 'VALOR UNIONISTA': 2, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 18, 'PHG': 22, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 34, 'CREO': 1, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",12,26,257,0,Algún campo sin dato,12.San Marcos,4.Comitancillo,1830,presidente
13367,,"{'UNE': 48, 'AZUL': 4, 'VALOR UNIONISTA': 4, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 14, 'PHG': 15, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 28, 'CREO': 0, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",10,27,230,0,Algún campo sin dato,12.San Marcos,4.Comitancillo,1831,presidente
13368,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 7, 'PHG': 8, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",8,30,181,0,Algún campo sin dato,12.San Marcos,4.Comitancillo,1831,presidente
13369,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 12, 'PHG': 13, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 52, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 16, 'CREO': 0, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",1,23,192,4,Algún campo sin dato,12.San Marcos,4.Comitancillo,1831,presidente
13370,,"{'UNE': 85, 'AZUL': 3, 'VALOR UNIONISTA': 2, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 14, 'PHG': 20, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 37, 'CREO': 0, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",27,28,259,0,Algún campo sin dato,12.San Marcos,4.Comitancillo,1832,presidente
13371,,"{'UNE': 94, 'AZUL': 5, 'VALOR UNIONISTA': 1, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 20, 'PHG': 27, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 34, 'CREO': 4, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",29,23,281,0,Algún campo sin dato,12.San Marcos,4.Comitancillo,1832,presidente
