mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13517,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 77, 'TODOS': 1, 'VAMOS': 1, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 13, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 32, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",15,33,244,0,Algún campo sin dato,12.San Marcos,6.Concepción Tutuapa,1869,presidente
13518,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,,12.San Marcos,6.Concepción Tutuapa,1869,presidente
13519,,"{'UNE': 18, 'AZUL': 7, 'VALOR UNIONISTA': 7, 'CABAL': 92, 'TODOS': 1, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 43, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",25,39,276,0,Algún campo sin dato,12.San Marcos,6.Concepción Tutuapa,1869,presidente
13520,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 73, 'TODOS': 2, 'VAMOS': 0, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 10, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 59, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",23,48,294,0,Algún campo sin dato,12.San Marcos,6.Concepción Tutuapa,1869,presidente
13521,,"{'UNE': 33, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 82, 'TODOS': 1, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 21, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 31, 'VIVA': 18, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 1}",29,30,281,0,Algún campo sin dato,12.San Marcos,6.Concepción Tutuapa,1869,presidente
13522,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 55, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 8, 'VICTORIA': 4, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 25, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",12,38,213,0,Algún campo sin dato,12.San Marcos,6.Concepción Tutuapa,1869,presidente
13523,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 55, 'TODOS': 0, 'VAMOS': 0, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 18, 'VICTORIA': 5, 'SEMILLA': 11, 'FCN-NACION': 3, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 33, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",18,36,234,0,Algún campo sin dato,12.San Marcos,6.Concepción Tutuapa,1869,presidente
13524,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 68, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 11, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 38, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",14,23,226,0,Algún campo sin dato,12.San Marcos,6.Concepción Tutuapa,1869,presidente
13525,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 48, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 10, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 24, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",12,42,206,0,Algún campo sin dato,12.San Marcos,6.Concepción Tutuapa,1869,presidente
13526,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 64, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 37, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",4,44,229,0,Algún campo sin dato,12.San Marcos,6.Concepción Tutuapa,1869,presidente
