mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13730,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 51, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 13, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",48,49,273,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1907,presidente
13731,,"{'UNE': 53, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 34, 'TODOS': 0, 'VAMOS': 1, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 17, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",51,60,269,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1907,presidente
13732,,"{'UNE': 69, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 0, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 22, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",62,52,300,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1907,presidente
13733,,"{'UNE': 89, 'AZUL': 3, 'VALOR UNIONISTA': 0, 'CABAL': 34, 'TODOS': 0, 'VAMOS': 0, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 10, 'BIEN': 16, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",40,41,297,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1907,presidente
13734,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 0, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 10, 'URNG-MAIZ WINAQ': 1, 'CREO': 6, 'BIEN': 26, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",59,41,278,0,,12.San Marcos,8.Sibinal,1907,presidente
13735,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 40, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 15, 'CREO': 3, 'BIEN': 59, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",74,56,325,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1907,presidente
13736,,"{'UNE': 39, 'AZUL': 5, 'VALOR UNIONISTA': 3, 'CABAL': 62, 'TODOS': 1, 'VAMOS': 1, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 36, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",71,56,317,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1907,presidente
13737,,"{'UNE': 62, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 53, 'TODOS': 1, 'VAMOS': 2, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 7, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",73,45,291,0,,12.San Marcos,8.Sibinal,1907,presidente
13738,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 61, 'TODOS': 1, 'VAMOS': 2, 'PHG': 6, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 15, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",60,55,289,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1908,presidente
13739,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 2, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 15, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",22,45,191,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1908,presidente
13740,,"{'UNE': 29, 'AZUL': 3, 'VALOR UNIONISTA': 2, 'CABAL': 37, 'TODOS': 2, 'VAMOS': 0, 'PHG': 2, 'PR': 0, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 17, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",32,56,238,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1908,presidente
13741,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 0, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 18, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",44,49,246,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1908,presidente
13742,,"{'UNE': 40, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 42, 'TODOS': 0, 'VAMOS': 0, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 15, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",48,53,259,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1908,presidente
13743,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 12, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",38,54,222,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1909,presidente
13744,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 40, 'TODOS': 1, 'VAMOS': 1, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 13, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",20,53,236,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1909,presidente
13745,,"{'UNE': 41, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 45, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 24, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",27,53,236,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1909,presidente
13746,,"{'UNE': 53, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 0, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 15, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 7}",27,47,226,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1909,presidente
13747,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 1, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 13, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",28,38,214,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1909,presidente
13748,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 13, 'CREO': 3, 'BIEN': 8, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",62,58,220,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1910,presidente
13749,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 0, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 9, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",37,40,162,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1910,presidente
13750,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 51, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",61,26,200,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1911,presidente
13751,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 0, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",26,18,136,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1911,presidente
13752,,"{'UNE': 85, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 51, 'TODOS': 0, 'VAMOS': 1, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",53,23,278,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1912,presidente
13753,,"{'UNE': 70, 'AZUL': 7, 'VALOR UNIONISTA': 0, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 0, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 4, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",45,45,255,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1912,presidente
13754,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",13,32,130,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1913,presidente
13755,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",26,19,130,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1913,presidente
13756,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 0, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",14,19,93,0,Algún campo sin dato,12.San Marcos,8.Sibinal,1914,presidente
