mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
13757,,"{'UNE': 36, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 85, 'TODOS': 10, 'VAMOS': 4, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 6, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",33,44,263,0,Algún campo sin dato,12.San Marcos,9.Tajumulco,1915,presidente
13758,,"{'UNE': 40, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 70, 'TODOS': 20, 'VAMOS': 10, 'PHG': 6, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 0, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 6, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",28,54,261,0,Algún campo sin dato,12.San Marcos,9.Tajumulco,1916,presidente
13759,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 60, 'TODOS': 15, 'VAMOS': 2, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 22, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",50,52,271,0,Algún campo sin dato,12.San Marcos,9.Tajumulco,1916,presidente
13760,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 69, 'TODOS': 18, 'VAMOS': 4, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",55,54,283,0,Algún campo sin dato,12.San Marcos,9.Tajumulco,1916,presidente
13761,,"{'UNE': 47, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 58, 'TODOS': 16, 'VAMOS': 7, 'PHG': 1, 'PR': 1, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 18, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",47,56,289,0,Algún campo sin dato,12.San Marcos,9.Tajumulco,1916,presidente
13762,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 60, 'TODOS': 19, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 1, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",52,62,275,0,Algún campo sin dato,12.San Marcos,9.Tajumulco,1917,presidente
13763,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 77, 'TODOS': 19, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 5, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 1}",44,59,294,1,Algún campo sin dato,12.San Marcos,9.Tajumulco,1918,presidente
13764,,"{'UNE': 60, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 78, 'TODOS': 11, 'VAMOS': 5, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",39,61,294,0,Sumas Asentadas sin cuadrar,12.San Marcos,9.Tajumulco,1919,presidente
13765,,"{'UNE': 24, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 52, 'TODOS': 10, 'VAMOS': 4, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",35,40,195,0,Algún campo sin dato,12.San Marcos,9.Tajumulco,1919,presidente
13766,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 45, 'TODOS': 11, 'VAMOS': 5, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 8, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",19,46,202,0,Algún campo sin dato,12.San Marcos,9.Tajumulco,1919,presidente
