mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
14797,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 7, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 56, 'FCN-NACION': 2, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 8, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 60}",0,39,253,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2115,presidente
14798,,"{'UNE': 11, 'AZUL': 4, 'VALOR UNIONISTA': 25, 'CABAL': 20, 'TODOS': 3, 'VAMOS': 9, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 75, 'FCN-NACION': 1, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 11, 'VIVA': 10, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 44}",3,36,275,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2115,presidente
14799,,"{'UNE': 9, 'AZUL': 4, 'VALOR UNIONISTA': 31, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 66, 'FCN-NACION': 0, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 8, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 40}",2,44,287,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2115,presidente
14800,,"{'UNE': 13, 'AZUL': 8, 'VALOR UNIONISTA': 34, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 9, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 62, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 9, 'VIVA': 9, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 47}",3,37,290,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2115,presidente
14801,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 8, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 70, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 10, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 44}",2,26,251,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2115,presidente
14802,,"{'UNE': 7, 'AZUL': 4, 'VALOR UNIONISTA': 23, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 12, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 68, 'FCN-NACION': 1, 'PPN': 0, 'UR': 9, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 15, 'VIVA': 7, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 44}",1,33,256,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2115,presidente
14803,,"{'UNE': 13, 'AZUL': 8, 'VALOR UNIONISTA': 25, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 9, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 67, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 15, 'VIVA': 9, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 47}",0,30,267,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2115,presidente
14804,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 28, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 8, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 87, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 10, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 43}",1,33,283,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2116,presidente
14805,,"{'UNE': 11, 'AZUL': 6, 'VALOR UNIONISTA': 33, 'CABAL': 22, 'TODOS': 6, 'VAMOS': 6, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 63, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 11, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 53}",2,43,281,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2116,presidente
14806,,"{'UNE': 9, 'AZUL': 4, 'VALOR UNIONISTA': 29, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 69, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 11, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 56}",1,34,265,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2116,presidente
14807,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 77, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 11, 'VIVA': 7, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 37}",1,38,241,0,Algún campo sin dato,13.Huehuetenango,1.Huehuetenango,2116,presidente
