mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15563,,"{'UNE': 29, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 3, 'TODOS': 100, 'VAMOS': 135, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",21,28,333,0,Algún campo sin dato,13.Huehuetenango,10.Santa Bárbara,2266,presidente
15564,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 1, 'TODOS': 93, 'VAMOS': 122, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 1, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 1}",22,20,314,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,10.Santa Bárbara,2266,presidente
15565,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 0, 'TODOS': 89, 'VAMOS': 127, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",28,35,330,0,Algún campo sin dato,13.Huehuetenango,10.Santa Bárbara,2266,presidente
15566,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 0, 'TODOS': 100, 'VAMOS': 119, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",30,30,327,0,Algún campo sin dato,13.Huehuetenango,10.Santa Bárbara,2266,presidente
15567,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 1, 'TODOS': 90, 'VAMOS': 103, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 5, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",36,29,317,0,Algún campo sin dato,13.Huehuetenango,10.Santa Bárbara,2266,presidente
15568,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 112, 'VAMOS': 100, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 0, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",39,32,325,0,Algún campo sin dato,13.Huehuetenango,10.Santa Bárbara,2266,presidente
15569,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 77, 'VAMOS': 112, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",39,35,298,0,Algún campo sin dato,13.Huehuetenango,10.Santa Bárbara,2266,presidente
15570,,"{'UNE': 6, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 107, 'VAMOS': 96, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",24,21,265,0,Algún campo sin dato,13.Huehuetenango,10.Santa Bárbara,2267,presidente
15571,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 0, 'TODOS': 82, 'VAMOS': 130, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",20,16,284,0,Algún campo sin dato,13.Huehuetenango,10.Santa Bárbara,2267,presidente
15572,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 2, 'TODOS': 99, 'VAMOS': 103, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",13,21,266,2,Algún campo sin dato,13.Huehuetenango,10.Santa Bárbara,2267,presidente
