mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
15776,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,,13.Huehuetenango,13.San Miguel Acatán,2302,presidente
15777,,"{'UNE': 64, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 29, 'TODOS': 8, 'VAMOS': 16, 'PHG': 24, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 4, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 49, 'CREO': 1, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",48,45,308,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2302,presidente
15778,,"{'UNE': 89, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 21, 'PHG': 12, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 38, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",43,40,291,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2302,presidente
15779,,"{'UNE': 71, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 26, 'PHG': 10, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 37, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",39,32,261,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2302,presidente
15780,,"{'UNE': 72, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 20, 'PHG': 11, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 35, 'CREO': 3, 'BIEN': 3, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",50,36,281,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2302,presidente
15781,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 30, 'TODOS': 2, 'VAMOS': 14, 'PHG': 11, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 48, 'CREO': 2, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",16,62,275,0,Sumas Asentadas sin cuadrar,13.Huehuetenango,13.San Miguel Acatán,2302,presidente
15782,,"{'UNE': 63, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 20, 'TODOS': 2, 'VAMOS': 14, 'PHG': 11, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 34, 'CREO': 0, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",20,32,221,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2302,presidente
15783,,"{'UNE': 35, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 21, 'TODOS': 3, 'VAMOS': 11, 'PHG': 6, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 28, 'CREO': 1, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",32,17,174,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2302,presidente
15784,,"{'UNE': 79, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 15, 'PHG': 12, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 75, 'CREO': 3, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",53,7,277,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2303,presidente
15785,,"{'UNE': 95, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 16, 'PHG': 16, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 3, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 61, 'CREO': 0, 'BIEN': 1, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",43,17,284,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2303,presidente
15786,,"{'UNE': 87, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 18, 'PHG': 19, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 3, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 62, 'CREO': 0, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",33,13,266,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2303,presidente
15787,,"{'UNE': 66, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 10, 'PHG': 14, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 54, 'CREO': 0, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",28,16,208,1,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2303,presidente
15788,,"{'UNE': 70, 'AZUL': 3, 'VALOR UNIONISTA': 1, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 7, 'PHG': 11, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 61, 'CREO': 0, 'BIEN': 1, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",27,30,240,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2303,presidente
15789,,"{'UNE': 90, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 46, 'TODOS': 1, 'VAMOS': 27, 'PHG': 7, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 46, 'CREO': 0, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",31,11,268,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2304,presidente
15790,,"{'UNE': 83, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 55, 'TODOS': 1, 'VAMOS': 18, 'PHG': 5, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 40, 'CREO': 1, 'BIEN': 0, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",38,12,262,0,Algún campo sin dato,13.Huehuetenango,13.San Miguel Acatán,2304,presidente
